#       N          p     Er_R(x     Er_A(y
     0        0.1850000000000E+01             0.3513513513514E+00             0.4225000000000E+00
     1        0.1735810810811E+01             0.6578435188789E-01             0.1303917092768E-01
     2        0.1732054879909E+01             0.2168482618694E-02             0.1410701693860E-04
     3        0.1732050807574E+01             0.2351163961724E-05             0.1658406745264E-10
     4        0.1732050807569E+01             0.2764066565408E-11             0.4440892098501E-15
