 #        t           theta             dtheta/dt=u       y_exact        Error Absoluto
  0.000000000E+00  0.000000000E+00  0.100000000E+01  0.000000000E+00
  0.100000000E+00 -0.983333333E+00  0.950416667E+00  0.950415280E+00  0.138641148E-05
  0.200000000E+00 -0.186915278E+01  0.806597396E+00  0.806578410E+00  0.189859483E-04
  0.300000000E+00 -0.256962806E+01  0.582803585E+00  0.582753611E+00  0.499744396E-04
  0.400000000E+00 -0.301530753E+01  0.301226148E+00  0.301137463E+00  0.886857122E-04
  0.500000000E+00 -0.316200424E+01 -0.102148883E-01 -0.103423189E-01  0.127430632E-03
  0.600000000E+00 -0.299517689E+01 -0.320638817E+00 -0.320796458E+00  0.157641404E-03
  0.700000000E+00 -0.253137120E+01 -0.599266203E+00 -0.599437393E+00  0.171189792E-03
  0.800000000E+00 -0.181657894E+01 -0.818470755E+00 -0.818632457E+00  0.161702074E-03
  0.900000000E+00 -0.921677329E+00 -0.956518510E+00 -0.956644200E+00  0.125689875E-03
  0.100000000E+01  0.645990401E-01 -0.999722738E+00 -0.999786073E+00  0.633352720E-04
  0.110000000E+01  0.104445670E+01 -0.943800913E+00 -0.943779722E+00  0.211912261E-04
  0.120000000E+01  0.192073995E+01 -0.794299209E+00 -0.794179265E+00  0.119944670E-03
  0.130000000E+01  0.260656415E+01 -0.566042445E+00 -0.565820495E+00  0.221950211E-03
  0.140000000E+01  0.303393041E+01 -0.281664032E+00 -0.281349624E+00  0.314408644E-03
  0.150000000E+01  0.316046766E+01  0.306382999E-01  0.310225317E-01  0.384231782E-03
  0.160000000E+01  0.297363348E+01  0.339898471E+00  0.340318200E+00  0.419729015E-03
  0.170000000E+01  0.249195732E+01  0.615452464E+00  0.615864703E+00  0.412239266E-03
  0.180000000E+01  0.176320285E+01  0.829978750E+00  0.830336249E+00  0.357499637E-03
  0.190000000E+01  0.859631605E+00  0.962207250E+00  0.962463815E+00  0.256564484E-03
  0.200000000E+01 -0.129162258E+00  0.999028248E+00  0.999144383E+00  0.116134556E-03
  0.210000000E+01 -0.110513574E+01  0.936792142E+00  0.936740363E+00  0.517794398E-04
  0.220000000E+01 -0.197151837E+01  0.781671184E+00  0.781440326E+00  0.230858006E-03
  0.230000000E+01 -0.264240725E+01  0.549047349E+00  0.548645290E+00  0.402058313E-03
  0.240000000E+01 -0.305128445E+01  0.261987038E+00  0.261441408E+00  0.545629972E-03
  0.250000000E+01 -0.315761218E+01 -0.510461228E-01 -0.516894714E-01  0.643348592E-03
  0.260000000E+01 -0.295085189E+01 -0.359013617E+00 -0.359694335E+00  0.680718376E-03
  0.270000000E+01 -0.245150876E+01 -0.631379627E+00 -0.632028514E+00  0.648886108E-03
  0.280000000E+01 -0.170909815E+01 -0.841138749E+00 -0.841684778E+00  0.546029492E-03
  0.290000000E+01 -0.797235596E+00 -0.967493604E+00 -0.967871636E+00  0.378031562E-03
  0.300000000E+01  0.193662712E+00 -0.997916880E+00 -0.998075205E+00  0.158325314E-03
  0.310000000E+01  0.116534520E+01 -0.929393334E+00 -0.929300216E+00  0.931184572E-04
  0.320000000E+01  0.202146695E+01 -0.768718637E+00 -0.768367045E+00  0.351591474E-03
  0.330000000E+01  0.267714254E+01 -0.531825421E+00 -0.531235345E+00  0.590075769E-03
