 #        t           theta             dtheta/dt=u       Energía        E_energía
  0.590000000E+01  0.206749150E+00  0.241107043E+00  0.310630279E+00  0.245503653E-03
  0.600000000E+01 -0.381149964E-01  0.249605321E+00  0.310626462E+00  0.249321369E-03
  0.610000000E+01 -0.279307299E+00  0.233604177E+00  0.310622270E+00  0.253513053E-03
  0.620000000E+01 -0.493514077E+00  0.194646983E+00  0.310617960E+00  0.257823133E-03
  0.630000000E+01 -0.659666083E+00  0.136512901E+00  0.310613916E+00  0.261867312E-03
  0.640000000E+01 -0.761004678E+00  0.648897227E-01  0.310610054E+00  0.265728960E-03
  0.650000000E+01 -0.787070664E+00 -0.131590146E-01  0.310605901E+00  0.269881630E-03
  0.660000000E+01 -0.735140910E+00 -0.899026318E-01  0.310601283E+00  0.274499765E-03
  0.670000000E+01 -0.610629542E+00 -0.157746768E+00  0.310596641E+00  0.279142231E-03
  0.680000000E+01 -0.426301332E+00 -0.210016894E+00  0.310592485E+00  0.283297769E-03
  0.690000000E+01 -0.200589202E+00 -0.241614550E+00  0.310588751E+00  0.287031477E-03
  0.700000000E+01  0.444629287E-01 -0.249482372E+00  0.310584926E+00  0.290856968E-03
  0.710000000E+01  0.285232089E+00 -0.232862615E+00  0.310580727E+00  0.295056350E-03
  0.720000000E+01  0.498438862E+00 -0.193358461E+00  0.310576420E+00  0.299362792E-03
  0.730000000E+01  0.663099963E+00 -0.134802901E+00  0.310572385E+00  0.303398090E-03
  0.740000000E+01  0.762596190E+00 -0.629262749E-01  0.310568522E+00  0.307260484E-03
  0.750000000E+01  0.786653622E+00  0.151816931E-01  0.310564358E+00  0.311425139E-03
  0.760000000E+01  0.732758736E+00  0.917841071E-01  0.310559732E+00  0.316050810E-03
  0.770000000E+01  0.606528954E+00  0.159301295E+00  0.310555098E+00  0.320684952E-03
  0.780000000E+01  0.420897744E+00  0.211092208E+00  0.310550958E+00  0.324825295E-03
  0.790000000E+01  0.194415933E+00  0.242106269E+00  0.310547229E+00  0.328553967E-03
  0.800000000E+01 -0.508084678E-01  0.249343087E+00  0.310543395E+00  0.332387437E-03
  0.810000000E+01 -0.291138948E+00  0.232105739E+00  0.310539189E+00  0.336594308E-03
  0.820000000E+01 -0.503331643E+00  0.192057139E+00  0.310534886E+00  0.340896823E-03
  0.830000000E+01 -0.666490621E+00  0.133083893E+00  0.310530860E+00  0.344923314E-03
  0.840000000E+01 -0.764137470E+00  0.609585306E-01  0.310526996E+00  0.348786815E-03
  0.850000000E+01 -0.786184523E+00 -0.172035084E-01  0.310522819E+00  0.352963578E-03
  0.860000000E+01 -0.730328130E+00 -0.936596509E-01  0.310518186E+00  0.357596445E-03
  0.870000000E+01 -0.602388463E+00 -0.160845438E+00  0.310513561E+00  0.362221888E-03
  0.880000000E+01 -0.415466547E+00 -0.212153737E+00  0.310509436E+00  0.366347107E-03
  0.890000000E+01 -0.188229735E+00 -0.242582163E+00  0.310505712E+00  0.370071132E-03
  0.900000000E+01  0.571512050E-01 -0.249187466E+00  0.310501870E+00  0.373912776E-03
  0.910000000E+01  0.297027482E+00 -0.231333590E+00  0.310497656E+00  0.378126920E-03
  0.920000000E+01  0.508192079E+00 -0.190743096E+00  0.310493358E+00  0.382425223E-03
  0.930000000E+01  0.669837805E+00 -0.131355985E+00  0.310489340E+00  0.386442992E-03
  0.940000000E+01  0.765628387E+00 -0.589866181E-01  0.310485475E+00  0.390307963E-03
  0.950000000E+01  0.785663375E+00  0.192243263E-01  0.310481286E+00  0.394496943E-03
  0.960000000E+01  0.727849237E+00  0.955291367E-01  0.310476646E+00  0.399136657E-03
  0.970000000E+01  0.598208333E+00  0.162379090E+00  0.310472030E+00  0.403753036E-03
  0.980000000E+01  0.410008086E+00  0.213201404E+00  0.310467920E+00  0.407863214E-03
  0.990000000E+01  0.182031002E+00  0.243042191E+00  0.310464200E+00  0.411582982E-03
  0.100000000E+02 -0.634907313E-01  0.249015511E+00  0.310460350E+00  0.415432986E-03
