 #        t           theta             dtheta/dt=u       Energía        E_energía
  0.580000000E+01  0.110877127E+01  0.350675990E+00  0.122327984E+01  0.894539383E-03
  0.590000000E+01  0.719527262E+00  0.442791212E+00  0.122326721E+01  0.907170403E-03
  0.600000000E+01  0.265481825E+00  0.492405588E+00  0.122325855E+01  0.915830829E-03
  0.610000000E+01 -0.211919304E+00  0.495100799E+00  0.122324667E+01  0.927713149E-03
  0.620000000E+01 -0.670692355E+00  0.450640247E+00  0.122322979E+01  0.944589575E-03
  0.630000000E+01 -0.106926285E+01  0.362974428E+00  0.122321282E+01  0.961564998E-03
  0.640000000E+01 -0.136842847E+01  0.240118538E+00  0.122320032E+01  0.974056417E-03
  0.650000000E+01 -0.153577948E+01  0.937145872E-01  0.122318930E+01  0.985079515E-03
  0.660000000E+01 -0.155176716E+01 -0.619481601E-01  0.122317240E+01  0.100197765E-02
  0.670000000E+01 -0.141446611E+01 -0.211482476E+00  0.122314916E+01  0.102521915E-02
  0.680000000E+01 -0.114008774E+01 -0.340232166E+00  0.122312787E+01  0.104651550E-02
  0.690000000E+01 -0.758904957E+00 -0.435911895E+00  0.122311454E+01  0.105984574E-02
  0.700000000E+01 -0.309168368E+00 -0.489711345E+00  0.122310584E+01  0.106854475E-02
  0.710000000E+01  0.167804582E+00 -0.496828857E+00  0.122309445E+01  0.107993135E-02
  0.720000000E+01  0.630038897E+00 -0.456638735E+00  0.122307790E+01  0.109647859E-02
  0.730000000E+01  0.103587289E+01 -0.372705551E+00  0.122306067E+01  0.111371069E-02
  0.740000000E+01  0.134574067E+01 -0.252679112E+00  0.122304776E+01  0.112662518E-02
  0.750000000E+01  0.152635852E+01 -0.107896440E+00  0.122303692E+01  0.113746098E-02
  0.760000000E+01  0.155674133E+01  0.475417916E-01  0.122302076E+01  0.115362114E-02
  0.770000000E+01  0.143323116E+01  0.198275153E+00  0.122299784E+01  0.117654579E-02
  0.780000000E+01  0.117047073E+01  0.329505434E+00  0.122297598E+01  0.119839804E-02
  0.790000000E+01  0.797678661E+00  0.428672438E+00  0.122296192E+01  0.121246071E-02
  0.800000000E+01  0.352605943E+00  0.486614215E+00  0.122295311E+01  0.122126844E-02
  0.810000000E+01 -0.123578097E+00  0.498147152E+00  0.122294220E+01  0.123218256E-02
  0.820000000E+01 -0.588913799E+00  0.462256674E+00  0.122292602E+01  0.124835717E-02
  0.830000000E+01 -0.100166625E+01  0.382120785E+00  0.122290859E+01  0.126579594E-02
  0.840000000E+01 -0.132194233E+01  0.265020796E+00  0.122289523E+01  0.127915376E-02
  0.850000000E+01 -0.151563842E+01  0.121980984E+00  0.122288451E+01  0.128987604E-02
  0.860000000E+01 -0.156037921E+01 -0.330996087E-01  0.122286907E+01  0.130531431E-02
  0.870000000E+01 -0.145078379E+01 -0.184903341E+00  0.122284654E+01  0.132784551E-02
  0.880000000E+01 -0.119989286E+01 -0.318504712E+00  0.122282419E+01  0.135018866E-02
  0.890000000E+01 -0.835816587E+00 -0.421078766E+00  0.122280937E+01  0.136500927E-02
  0.900000000E+01 -0.395761395E+00 -0.483116860E+00  0.122280038E+01  0.137399639E-02
  0.910000000E+01  0.792733686E-01 -0.499055011E+00  0.122278991E+01  0.138446773E-02
  0.920000000E+01  0.547350356E+00 -0.467490039E+00  0.122277415E+01  0.140023095E-02
  0.930000000E+01  0.966673871E+00 -0.391212864E+00  0.122275656E+01  0.141782327E-02
  0.940000000E+01  0.129705767E+01 -0.277133526E+00  0.122274274E+01  0.143163680E-02
  0.950000000E+01  0.150363145E+01 -0.135956290E+00  0.122273206E+01  0.144231850E-02
  0.960000000E+01  0.156267798E+01  0.186340202E-01  0.122271732E+01  0.145706025E-02
  0.970000000E+01  0.146710702E+01  0.171378431E+00  0.122269525E+01  0.147912696E-02
  0.980000000E+01  0.122832736E+01  0.307239163E+00  0.122267249E+01  0.150188988E-02
  0.990000000E+01  0.873287214E+00  0.413137091E+00  0.122265690E+01  0.151748580E-02
  0.100000000E+02  0.438601658E+00  0.479222246E+00  0.122264766E+01  0.152672268E-02
