 #        t           theta             dtheta/dt=u       y_exact        Error Absoluto
  0.660000000E+01 -0.284754492E+01 -0.433870938E+00 -0.435578015E-02  0.429515158E+00
  0.670000000E+01 -0.227971439E+01 -0.692366754E+00 -0.693912189E-02  0.685427632E+00
  0.680000000E+01 -0.148585124E+01 -0.882208817E+00 -0.883431479E-02  0.873374503E+00
  0.690000000E+01 -0.544672450E+00 -0.984574669E+00 -0.985341365E-02  0.974721256E+00
  0.700000000E+01  0.450499317E+00 -0.989315633E+00 -0.989535499E-02  0.979420278E+00
  0.710000000E+01  0.140098910E+01 -0.895962966E+00 -0.895597953E-02  0.887006987E+00
  0.720000000E+01  0.221255364E+01 -0.713774208E+00 -0.712844460E-02  0.706645763E+00
  0.730000000E+01  0.280472583E+01 -0.460815129E+00 -0.459398582E-02  0.456221143E+00
  0.740000000E+01  0.311879305E+01 -0.162168339E+00 -0.160394403E-02  0.160564395E+00
  0.750000000E+01  0.312361843E+01  0.152553824E+00  0.154515998E-02  0.151008664E+00
  0.760000000E+01  0.281872775E+01  0.452145509E+00  0.454103135E-02  0.447604477E+00
  0.770000000E+01  0.223435608E+01  0.706901523E+00  0.708657118E-02  0.699814951E+00
  0.780000000E+01  0.142844943E+01  0.891562670E+00  0.892933972E-02  0.882633331E+00
  0.790000000E+01  0.480918854E+00  0.987820215E+00  0.988659065E-02  0.977933625E+00
  0.800000000E+01 -0.514283251E+00  0.986131150E+00  0.986339392E-02  0.976267756E+00
  0.810000000E+01 -0.145847900E+01  0.886664295E+00  0.886204995E-02  0.877802245E+00
  0.820000000E+01 -0.225804931E+01  0.699283421E+00  0.698186145E-02  0.692301560E+00
  0.830000000E+01 -0.283371640E+01  0.442569103E+00  0.440928566E-02  0.438159817E+00
  0.840000000E+01 -0.312840424E+01  0.141976272E+00  0.139944349E-02  0.140576829E+00
  0.850000000E+01 -0.311289753E+01 -0.172689802E+00 -0.174918071E-02  0.170940621E+00
  0.860000000E+01 -0.278873806E+01 -0.470228856E+00 -0.472433964E-02  0.465504517E+00
  0.870000000E+01 -0.218807142E+01 -0.721139251E+00 -0.723098846E-02  0.713908263E+00
  0.880000000E+01 -0.137045928E+01 -0.900543120E+00 -0.902054420E-02  0.891522576E+00
  0.890000000E+01 -0.416973276E+00 -0.990653020E+00 -0.991553763E-02  0.980737482E+00
