#            x                           P(x)                           f(x)                          E_abs
        0.112060302E+01               0.113883180E+00              -0.711862257E+03              -0.711976140E+03
        0.112261307E+01               0.115676819E+00              -0.711862257E+03              -0.711977933E+03
        0.112462312E+01               0.117467233E+00              -0.711862257E+03              -0.711979724E+03
        0.112663317E+01               0.119254431E+00              -0.711862257E+03              -0.711981511E+03
        0.112864322E+01               0.121038424E+00              -0.711862257E+03              -0.711983295E+03
        0.113065327E+01               0.122819220E+00              -0.711862257E+03              -0.711985076E+03
        0.113266332E+01               0.124596830E+00              -0.711862257E+03              -0.711986853E+03
        0.113467337E+01               0.126371262E+00              -0.711862257E+03              -0.711988628E+03
        0.113668342E+01               0.128142527E+00              -0.711862257E+03              -0.711990399E+03
        0.113869347E+01               0.129910635E+00              -0.711862257E+03              -0.711992167E+03
        0.114070352E+01               0.131675594E+00              -0.711862257E+03              -0.711993932E+03
        0.114271357E+01               0.133437414E+00              -0.711862257E+03              -0.711995694E+03
        0.114472362E+01               0.135196106E+00              -0.711862257E+03              -0.711997453E+03
        0.114673367E+01               0.136951678E+00              -0.711862257E+03              -0.711999208E+03
        0.114874372E+01               0.138704140E+00              -0.711862257E+03              -0.712000961E+03
        0.115075377E+01               0.140453502E+00              -0.711862257E+03              -0.712002710E+03
        0.115276382E+01               0.142199773E+00              -0.711862257E+03              -0.712004456E+03
        0.115477387E+01               0.143942964E+00              -0.711862257E+03              -0.712006200E+03
        0.115678392E+01               0.145683083E+00              -0.711862257E+03              -0.712007940E+03
        0.115879397E+01               0.147420140E+00              -0.711862257E+03              -0.712009677E+03
        0.116080402E+01               0.149154144E+00              -0.711862257E+03              -0.712011411E+03
        0.116281407E+01               0.150885107E+00              -0.711862257E+03              -0.712013142E+03
        0.116482412E+01               0.152613036E+00              -0.711862257E+03              -0.712014870E+03
        0.116683417E+01               0.154337941E+00              -0.711862257E+03              -0.712016595E+03
        0.116884422E+01               0.156059833E+00              -0.711862257E+03              -0.712018316E+03
        0.117085427E+01               0.157778721E+00              -0.711862257E+03              -0.712020035E+03
        0.117286432E+01               0.159494614E+00              -0.711862257E+03              -0.712021751E+03
        0.117487437E+01               0.161207522E+00              -0.711862257E+03              -0.712023464E+03
        0.117688442E+01               0.162917454E+00              -0.711862257E+03              -0.712025174E+03
        0.117889447E+01               0.164624421E+00              -0.711862257E+03              -0.712026881E+03
        0.118090452E+01               0.166328431E+00              -0.711862257E+03              -0.712028585E+03
        0.118291457E+01               0.168029495E+00              -0.711862257E+03              -0.712030286E+03
        0.118492462E+01               0.169727622E+00              -0.711862257E+03              -0.712031984E+03
        0.118693467E+01               0.171422821E+00              -0.711862257E+03              -0.712033679E+03
        0.118894472E+01               0.173115103E+00              -0.711862257E+03              -0.712035372E+03
        0.119095477E+01               0.174804476E+00              -0.711862257E+03              -0.712037061E+03
        0.119296482E+01               0.176490951E+00              -0.711862257E+03              -0.712038748E+03
        0.119497487E+01               0.178174536E+00              -0.711862257E+03              -0.712040431E+03
        0.119698492E+01               0.179855242E+00              -0.711862257E+03              -0.712042112E+03
        0.119899497E+01               0.181533078E+00              -0.711862257E+03              -0.712043790E+03
        0.120100503E+01               0.183208054E+00              -0.711862257E+03              -0.712045465E+03
        0.120301508E+01               0.184880180E+00              -0.711862257E+03              -0.712047137E+03
        0.120502513E+01               0.186549464E+00              -0.711862257E+03              -0.712048806E+03
        0.120703518E+01               0.188215917E+00              -0.711862257E+03              -0.712050473E+03
        0.120904523E+01               0.189879548E+00              -0.711862257E+03              -0.712052136E+03
        0.121105528E+01               0.191540367E+00              -0.711862257E+03              -0.712053797E+03
        0.121306533E+01               0.193198383E+00              -0.711862257E+03              -0.712055455E+03
        0.121507538E+01               0.194853606E+00              -0.711862257E+03              -0.712057110E+03
        0.121708543E+01               0.196506046E+00              -0.711862257E+03              -0.712058763E+03
        0.121909548E+01               0.198155712E+00              -0.711862257E+03              -0.712060412E+03
        0.122110553E+01               0.199802613E+00              -0.711862257E+03              -0.712062059E+03
        0.122311558E+01               0.201446760E+00              -0.711862257E+03              -0.712063703E+03
        0.122512563E+01               0.203088162E+00              -0.711862257E+03              -0.712065345E+03
        0.122713568E+01               0.204726828E+00                     -Infinity                     -Infinity
        0.122914573E+01               0.206362769E+00              -0.740943564E+03              -0.741149927E+03
        0.123115578E+01               0.207995993E+00              -0.711862257E+03              -0.712070253E+03
        0.123316583E+01               0.209626511E+00              -0.741667483E+03              -0.741877110E+03
        0.123517588E+01               0.211254331E+00              -0.724645549E+03              -0.724856803E+03
        0.123718593E+01               0.212879464E+00              -0.742648312E+03              -0.742861192E+03
        0.123919598E+01               0.214501920E+00              -0.736122306E+03              -0.736336808E+03
        0.124120603E+01               0.216121707E+00              -0.741606859E+03              -0.741822980E+03
        0.124321608E+01               0.217738835E+00              -0.739834902E+03              -0.740052641E+03
        0.124522613E+01               0.219353315E+00              -0.743341460E+03              -0.743560813E+03
        0.124723618E+01               0.220965154E+00              -0.712261140E+03              -0.712482105E+03
        0.124924623E+01               0.222574364E+00              -0.743053778E+03              -0.743276352E+03
        0.125125628E+01               0.224180954E+00              -0.740414720E+03              -0.740638901E+03
        0.125326633E+01               0.225784933E+00              -0.742830634E+03              -0.743056419E+03
        0.125527638E+01               0.227386311E+00              -0.742042177E+03              -0.742269563E+03
        0.125728643E+01               0.228985098E+00              -0.742494162E+03              -0.742723147E+03
        0.125929648E+01               0.230581303E+00              -0.711866757E+03              -0.712097338E+03
        0.126130653E+01               0.232174935E+00              -0.742360630E+03              -0.742592805E+03
        0.126331658E+01               0.233766005E+00                     -Infinity                     -Infinity
        0.126532663E+01               0.235354522E+00              -0.742242847E+03              -0.742478202E+03
        0.126733668E+01               0.236940495E+00              -0.712261140E+03              -0.712498080E+03
        0.126934673E+01               0.238523935E+00              -0.742042177E+03              -0.742280701E+03
        0.127135678E+01               0.240104850E+00              -0.737532317E+03              -0.737772421E+03
        0.127336683E+01               0.241683250E+00              -0.741955165E+03              -0.742196849E+03
        0.127537688E+01               0.243259146E+00              -0.737532317E+03              -0.737775576E+03
        0.127738693E+01               0.244832546E+00              -0.741875123E+03              -0.742119955E+03
        0.127939698E+01               0.246403460E+00              -0.737532317E+03              -0.737778720E+03
        0.128140704E+01               0.247971898E+00              -0.741801015E+03              -0.742048986E+03
        0.128341709E+01               0.249537869E+00              -0.737532317E+03              -0.737781855E+03
        0.128542714E+01               0.251101383E+00              -0.741304578E+03              -0.741555679E+03
        0.128743719E+01               0.252662450E+00                     -Infinity                     -Infinity
        0.128944724E+01               0.254221079E+00              -0.741221196E+03              -0.741475417E+03
        0.129145729E+01               0.255777279E+00              -0.711862257E+03              -0.712118034E+03
        0.129346734E+01               0.257331061E+00              -0.741181975E+03              -0.741439306E+03
        0.129547739E+01               0.258882434E+00              -0.743746925E+03              -0.744005807E+03
        0.129748744E+01               0.260431407E+00              -0.741006085E+03              -0.741266516E+03
        0.129949749E+01               0.261977991E+00              -0.711862257E+03              -0.712124235E+03
        0.130150754E+01               0.263522194E+00              -0.741732022E+03              -0.741995544E+03
        0.130351759E+01               0.265064027E+00              -0.711862257E+03              -0.712127321E+03
        0.130552764E+01               0.266603498E+00                     -Infinity                     -Infinity
        0.130753769E+01               0.268140618E+00                     -Infinity                     -Infinity
        0.130954774E+01               0.269675396E+00               0.629874142E+03               0.629604467E+03
        0.131155779E+01               0.271207842E+00                           NaN                           NaN
        0.131356784E+01               0.272737966E+00              -0.706776417E+03              -0.707049155E+03
        0.131557789E+01               0.274265776E+00                     -Infinity                     -Infinity
        0.131758794E+01               0.275791282E+00                     -Infinity                     -Infinity
        0.131959799E+01               0.277314495E+00                     -Infinity                     -Infinity
        0.132160804E+01               0.278835424E+00                     -Infinity                     -Infinity
        0.132361809E+01               0.280354078E+00                     -Infinity                     -Infinity
        0.132562814E+01               0.281870466E+00                     -Infinity                     -Infinity
        0.132763819E+01               0.283384600E+00                     -Infinity                     -Infinity
        0.132964824E+01               0.284896487E+00                     -Infinity                     -Infinity
        0.133165829E+01               0.286406138E+00                     -Infinity                     -Infinity
        0.133366834E+01               0.287913563E+00                     -Infinity                     -Infinity
        0.133567839E+01               0.289418770E+00                     -Infinity                     -Infinity
        0.133768844E+01               0.290921770E+00                     -Infinity                     -Infinity
        0.133969849E+01               0.292422572E+00                     -Infinity                     -Infinity
        0.134170854E+01               0.293921186E+00                     -Infinity                     -Infinity
        0.134371859E+01               0.295417621E+00                     -Infinity                     -Infinity
        0.134572864E+01               0.296911887E+00                     -Infinity                     -Infinity
        0.134773869E+01               0.298403994E+00                     -Infinity                     -Infinity
        0.134974874E+01               0.299893951E+00                     -Infinity                     -Infinity
        0.135175879E+01               0.301381767E+00                     -Infinity                     -Infinity
        0.135376884E+01               0.302867453E+00                     -Infinity                     -Infinity
        0.135577889E+01               0.304351017E+00                     -Infinity                     -Infinity
        0.135778894E+01               0.305832471E+00                     -Infinity                     -Infinity
        0.135979899E+01               0.307311822E+00                     -Infinity                     -Infinity
        0.136180905E+01               0.308789081E+00                     -Infinity                     -Infinity
        0.136381910E+01               0.310264257E+00                     -Infinity                     -Infinity
        0.136582915E+01               0.311737361E+00                     -Infinity                     -Infinity
        0.136783920E+01               0.313208400E+00                     -Infinity                     -Infinity
        0.136984925E+01               0.314677386E+00                     -Infinity                     -Infinity
        0.137185930E+01               0.316144328E+00                     -Infinity                     -Infinity
        0.137386935E+01               0.317609235E+00                     -Infinity                     -Infinity
        0.137587940E+01               0.319072117E+00                     -Infinity                     -Infinity
        0.137788945E+01               0.320532983E+00                     -Infinity                     -Infinity
        0.137989950E+01               0.321991844E+00                     -Infinity                     -Infinity
        0.138190955E+01               0.323448708E+00                     -Infinity                     -Infinity
        0.138391960E+01               0.324903585E+00                     -Infinity                     -Infinity
        0.138592965E+01               0.326356486E+00                     -Infinity                     -Infinity
        0.138793970E+01               0.327807419E+00                     -Infinity                     -Infinity
        0.138994975E+01               0.329256394E+00                     -Infinity                     -Infinity
        0.139195980E+01               0.330703420E+00                     -Infinity                     -Infinity
        0.139396985E+01               0.332148509E+00                     -Infinity                     -Infinity
        0.139597990E+01               0.333591668E+00                     -Infinity                     -Infinity
        0.139798995E+01               0.335032907E+00                     -Infinity                     -Infinity
        0.140000000E+01               0.336472237E+00                     -Infinity                     -Infinity
