#            x                           P(x)                           f(x)                          E_abs
        0.100000000E+01               0.000000000E+00               0.953101798E-01               0.953101798E-01
        0.100201005E+01               0.200470754E-02               0.262364264E+00               0.260359557E+00
        0.100402010E+01               0.400561408E-02               0.336472237E+00               0.332466623E+00
        0.100603015E+01               0.600272922E-02                     -Infinity                     -Infinity
        0.100804020E+01               0.799606256E-02              -0.482880604E+01              -0.483680210E+01
        0.101005025E+01               0.998562370E-02              -0.620959556E+01              -0.621958118E+01
        0.101206030E+01               0.119714222E-01              -0.720313452E+03              -0.720325423E+03
        0.101407035E+01               0.139534678E-01                     -Infinity                     -Infinity
        0.101608040E+01               0.159317699E-01              -0.712261140E+03              -0.712277071E+03
        0.101809045E+01               0.179063382E-01              -0.711862257E+03              -0.711880163E+03
        0.102010050E+01               0.198771824E-01              -0.712261140E+03              -0.712281017E+03
        0.102211055E+01               0.218443119E-01              -0.711862257E+03              -0.711884101E+03
        0.102412060E+01               0.238077364E-01              -0.722259362E+03              -0.722283170E+03
        0.102613065E+01               0.257674655E-01                     -Infinity                     -Infinity
        0.102814070E+01               0.277235089E-01              -0.711866757E+03              -0.711894481E+03
        0.103015075E+01               0.296758760E-01              -0.712261139E+03              -0.712290815E+03
        0.103216080E+01               0.316245765E-01              -0.711862257E+03              -0.711893881E+03
        0.103417085E+01               0.335696200E-01              -0.721566215E+03              -0.721599785E+03
        0.103618090E+01               0.355110161E-01              -0.712261140E+03              -0.712296651E+03
        0.103819095E+01               0.374487744E-01              -0.712261140E+03              -0.712298588E+03
        0.104020101E+01               0.393829044E-01              -0.472127667E+03              -0.472167050E+03
        0.104221106E+01               0.413134159E-01              -0.712261140E+03              -0.712302453E+03
        0.104422111E+01               0.432403184E-01              -0.711862257E+03              -0.711905497E+03
        0.104623116E+01               0.451636214E-01                     -Infinity                     -Infinity
        0.104824121E+01               0.470833347E-01                     -Infinity                     -Infinity
        0.105025126E+01               0.489994677E-01                           NaN                           NaN
        0.105226131E+01               0.509120301E-01                           NaN                           NaN
        0.105427136E+01               0.528210315E-01              -0.711866773E+03              -0.711919594E+03
        0.105628141E+01               0.547264815E-01                     -Infinity                     -Infinity
        0.105829146E+01               0.566283897E-01                     -Infinity                     -Infinity
        0.106030151E+01               0.585267657E-01              -0.744440072E+03              -0.744498599E+03
        0.106231156E+01               0.604216191E-01              -0.711862257E+03              -0.711922678E+03
        0.106432161E+01               0.623129594E-01              -0.711862257E+03              -0.711924570E+03
        0.106633166E+01               0.642007964E-01              -0.711866757E+03              -0.711930958E+03
        0.106834171E+01               0.660851395E-01                     -Infinity                     -Infinity
        0.107035176E+01               0.679659984E-01                     -Infinity                     -Infinity
        0.107236181E+01               0.698433827E-01              -0.712261140E+03              -0.712330983E+03
        0.107437186E+01               0.717173020E-01              -0.711862257E+03              -0.711933974E+03
        0.107638191E+01               0.735877659E-01                     -Infinity                     -Infinity
        0.107839196E+01               0.754547839E-01                     -Infinity                     -Infinity
        0.108040201E+01               0.773183657E-01              -0.712261140E+03              -0.712338458E+03
        0.108241206E+01               0.791785210E-01              -0.711862257E+03              -0.711941435E+03
        0.108442211E+01               0.810352592E-01              -0.741107867E+03              -0.741188903E+03
        0.108643216E+01               0.828885899E-01              -0.744440072E+03              -0.744522961E+03
        0.108844221E+01               0.847385229E-01              -0.711862257E+03              -0.711946995E+03
        0.109045226E+01               0.865850677E-01                     -Infinity                     -Infinity
        0.109246231E+01               0.884282338E-01              -0.711862257E+03              -0.711950685E+03
        0.109447236E+01               0.902680309E-01              -0.711862257E+03              -0.711952525E+03
        0.109648241E+01               0.921044686E-01              -0.711862257E+03              -0.711954361E+03
        0.109849246E+01               0.939375564E-01              -0.711862257E+03              -0.711956194E+03
        0.110050251E+01               0.957673041E-01              -0.711862257E+03              -0.711958024E+03
        0.110251256E+01               0.975937211E-01              -0.711862257E+03              -0.711959850E+03
        0.110452261E+01               0.994168171E-01              -0.711862257E+03              -0.711961673E+03
        0.110653266E+01               0.101236602E+00              -0.711862257E+03              -0.711963493E+03
        0.110854271E+01               0.103053084E+00              -0.711862257E+03              -0.711965310E+03
        0.111055276E+01               0.104866275E+00              -0.711862257E+03              -0.711967123E+03
        0.111256281E+01               0.106676183E+00              -0.711862257E+03              -0.711968933E+03
        0.111457286E+01               0.108482818E+00              -0.711862257E+03              -0.711970739E+03
        0.111658291E+01               0.110286189E+00              -0.711862257E+03              -0.711972543E+03
        0.111859296E+01               0.112086307E+00              -0.711862257E+03              -0.711974343E+03
