        t                       df_5p
   4.0160642570281124E-002   2.5100741719155955     
   6.0240963855421686E-002   2.5060761857182419     
   8.0321285140562249E-002   2.5004825692467332     
  0.10040160642570281        2.4932968839824974     
  0.12048192771084337        2.4845237050845066     
  0.14056224899598393        2.4741686184762504     
  0.16064257028112450        2.4622382172891779     
  0.18072289156626506        2.4487400976647806     
  0.20080321285140562        2.4336828539181292     
  0.22088353413654618        2.4170760730658061     
  0.24096385542168675        2.3989303287218324     
  0.26104417670682734        2.3792571743653874     
  0.28112449799196787        2.3580691359846346     
  0.30120481927710840        2.3353797041014239     
  0.32128514056224899        2.3112033251817548     
  0.34136546184738958        2.2855553924376544     
  0.36144578313253012        2.2584522360262906     
  0.38152610441767065        2.2299111126524367     
  0.40160642570281124        2.1999501945810862     
  0.42168674698795183        2.1685885580670621     
  0.44176706827309237        2.1358461712090469     
  0.46184738955823290        2.1017438812359224     
  0.48192771084337349        2.0663034012330970     
  0.50200803212851408        2.0295472963177277     
  0.52208835341365467        1.9914989692714913     
  0.54216867469879515        1.9521826456398392     
  0.56224899598393574        1.9116233583074929     
  0.58232931726907633        1.8698469315598609     
  0.60240963855421681        1.8268799646406835     
  0.62248995983935740        1.7827498148161340     
  0.64257028112449799        1.7374845799562704     
  0.66265060240963858        1.6911130806450474     
  0.68273092369477917        1.6436648418301003     
  0.70281124497991965        1.5951700740240906     
  0.72289156626506024        1.5456596540694933     
  0.74297188755020083        1.4951651054792006     
  0.76305220883534131        1.4437185783653841     
  0.78313253012048190        1.3913528289692885     
  0.80321285140562249        1.3381011988052527     
  0.82329317269076308        1.2839975934319612     
  0.84337349397590367        1.2290764608646909     
  0.86345381526104414        1.1733727696420453     
  0.88353413654618473        1.1169219865612852     
  0.90361445783132532        1.0597600540965662     
  0.92369477911646580        1.0019233675141386     
  0.94377510040160639       0.94344875169927356     
  0.96385542168674698       0.88437343770972665     
  0.98393574297188757       0.82473503907061230     
   1.0040160642570282       0.76457152782556737     
   1.0240963855421688       0.70392121035991029     
   1.0441767068273093       0.64282270301070743     
   1.0642570281124497       0.58131490747956116     
   1.0843373493975903       0.51943698606378219     
   1.1044176706827309       0.45722833672153385     
   1.1244979919678715       0.39472856798698297     
