               t                  df_3p
   2.0080321285140562E-002   2.5122073932954785     
   4.0160642570281124E-002   2.5098078375432462     
   6.0240963855421686E-002   2.5058102755569203     
   8.0321285140562249E-002   2.5002172526026669     
  0.10040160642570281        2.4930323297840178     
  0.12048192771084337        2.4842600817744920     
  0.14056224899598393        2.4739060939048820     
  0.16064257028112450        2.4619769586070586     
  0.18072289156626506        2.4484802712165203     
  0.20080321285140562        2.4334246251364262     
  0.22088353413654618        2.4168196063661198     
  0.24096385542168675        2.3986757873976923     
  0.26104417670682734        2.3790047204844278     
  0.28112449799196787        2.3578189302854127     
  0.30120481927710840        2.3351319058910582     
  0.32128514056224899        2.3109580922345088     
  0.34136546184738958        2.2853128808944794     
  0.36144578313253012        2.2582126002954039     
  0.38152610441767065        2.2296745053110176     
  0.40160642570281124        2.1997167662781192     
  0.42168674698795183        2.1683584574274204     
  0.44176706827309237        2.1356195447388808     
  0.46184738955823290        2.1015208732293424     
  0.48192771084337349        2.0660841536803298     
  0.50200803212851408        2.0293319488147108     
  0.52208835341365467        1.9912876589309692     
  0.54216867469879515        1.9519755070040785     
  0.56224899598393574        1.9114205232626122     
  0.58232931726907633        1.8696485292518799     
  0.60240963855421681        1.8266861213932672     
  0.62248995983935740        1.7825606540501695     
  0.64257028112449799        1.7373002221112903     
  0.66265060240963858        1.6909336431025441     
  0.68273092369477917        1.6434904388387894     
  0.70281124497991965        1.5950008166271541     
  0.72289156626506024        1.5454956500339005     
  0.74297188755020083        1.4950064592270804     
  0.76305220883534131        1.4435653909075292     
  0.78313253012048190        1.3912051978408664     
  0.80321285140562249        1.3379592180036828     
  0.82329317269076308        1.2838613533570797     
  0.84337349397590367        1.2289460482611769     
  0.86345381526104414        1.1732482675442015     
  0.88353413654618473        1.1168034742401807     
  0.90361445783132532        1.0596476070095444     
  0.92369477911646580        1.0018170572567722     
  0.94377510040160639       0.94334864595979029     
  0.96385542168674698       0.88427960022592556     
  0.98393574297188757       0.82464752958923826     
   1.0040160642570282       0.76449040206432350     
   1.0240963855421688       0.70384651997194048     
   1.0441767068273093       0.64275449555171660     
   1.0642570281124497       0.58125322637755961     
   1.0843373493975903       0.51938187059141572     
   1.1044176706827309       0.45717982197107848     
   1.1244979919678715       0.39468668484799818     
   1.1445783132530121       0.33194224889100388     
   1.1646586345381527       0.26898646377207180     
   1.1847389558232932       0.20585941373016808     
   1.2048192771084336       0.14260129204940480     
   1.2248995983935742        7.9252375467813385E-002
   1.2449799196787148        1.5852998532979768E-002
   1.2650602409638554       -4.7556472079187138E-002
   1.2851405622489960      -0.11093566326608879     
   1.3052208835341366      -0.17424422120416166     
   1.3253012048192772      -0.23744183704238311     
   1.3453815261044177      -0.30048827256705984     
   1.3654618473895583      -0.36334338582168885     
   1.3855421686746987      -0.42596715666556856     
   1.4056224899598393      -0.48831971225476800     
   1.4257028112449799      -0.55036135242935302     
   1.4457831325301205      -0.61205257499066990     
   1.4658634538152611      -0.67335410085258707     
   1.4859437751004017      -0.73422689905064864     
   1.5060240963855422      -0.79463221159327269     
   1.5261044176706826      -0.85453157813918190     
   1.5461847389558232      -0.91388686048523582     
   1.5662650602409638      -0.97266026684921336     
   1.5863453815261044       -1.0308143759320025     
   1.6064257028112450       -1.0883121607439432     
   1.6265060240963856       -1.1451170121800851     
   1.6465863453815262       -1.2011927623293186     
   1.6666666666666667       -1.2565037075026904     
   1.6867469879518073       -1.3110146309661566     
   1.7068273092369477       -1.3646908253631669     
   1.7269076305220883       -1.4174981148129808     
   1.7469879518072289       -1.4694028766706737     
   1.7670682730923695       -1.5203720629348141     
   1.7871485943775101       -1.5703732212892465     
   1.8072289156626506       -1.6193745157656780     
   1.8273092369477912       -1.6673447470137626     
   1.8473895582329316       -1.7142533721658759     
   1.8674698795180722       -1.7600705242838530     
   1.8875502008032128       -1.8047670313754607     
   1.9076305220883534       -1.8483144349683529     
   1.9277108433734940       -1.8906850082296489     
   1.9477911646586346       -1.9318517736198384     
   1.9678714859437751       -1.9717885200693834     
   1.9879518072289157       -2.0104698196674624     
   2.0080321285140563       -2.0478710438520880     
   2.0281124497991967       -2.0839683790912336     
   2.0481927710843375       -2.1187388420449289     
   2.0682730923694779       -2.1521602941989291     
   2.0883534136546187       -2.1842114559603920     
   2.1084337349397591       -2.2148719202066940     
   2.1285140562248994       -2.2441221652787582     
   2.1485943775100402       -2.2719435674104815     
   2.1686746987951806       -2.2983184125867799     
   2.1887550200803214       -2.3232299078219731     
   2.2088353413654618       -2.3466621918520905     
   2.2289156626506026       -2.3686003452337019     
   2.2489959839357430       -2.3890303998432652     
   2.2690763052208833       -2.4079393477708462     
   2.2891566265060241       -2.4253151496019028     
   2.3092369477911645       -2.4411467420832293     
   2.3293172690763053       -2.4554240451668621     
   2.3493975903614457       -2.4681379684280151     
   2.3694779116465865       -2.4792804168530673     
   2.3895582329317269       -2.4888442959936752     
