#            h                             Deriv.Aprox                          Deriv.Exacta                             Error_abs
     0.100000000E+00                      0.221669956E+02                      0.221671683E+02                      0.172675392E-03
     0.100000000E-01                      0.221671683E+02                      0.221671683E+02                      0.172417884E-07
     0.100000000E-02                      0.221671683E+02                      0.221671683E+02                      0.354916097E-11
     0.100000000E-03                      0.221671683E+02                      0.221671683E+02                      0.315267812E-10
     0.100000000E-04                      0.221671683E+02                      0.221671683E+02                      0.231366926E-09
     0.100000000E-05                      0.221671683E+02                      0.221671683E+02                      0.749469820E-09
     0.100000000E-06                      0.221671683E+02                      0.221671683E+02                      0.298926857E-07
     0.100000000E-07                      0.221671680E+02                      0.221671683E+02                      0.269700863E-06
     0.100000000E-08                      0.221671694E+02                      0.221671683E+02                      0.113658163E-05
     0.100000000E-09                      0.221671822E+02                      0.221671683E+02                      0.138671390E-04
     0.100000000E-10                      0.221672458E+02                      0.221671683E+02                      0.775199257E-04
     0.100000000E-11                      0.221692294E+02                      0.221671683E+02                      0.206111840E-02
     0.100000000E-12                      0.221526501E+02                      0.221671683E+02                      0.145182121E-01
     0.100000000E-13                      0.225153229E+02                      0.221671683E+02                      0.348154643E+00
     0.100000000E-14                      0.223524902E+02                      0.221671683E+02                      0.185321932E+00
     0.100000000E-15                     -0.888178420E+01                      0.221671683E+02                      0.310489525E+02
     0.100000000E-16                      0.296059473E+02                      0.221671683E+02                      0.743877903E+01
     0.100000000E-17                      0.296059473E+03                      0.221671683E+02                      0.273892305E+03
     0.100000000E-18                      0.296059473E+04                      0.221671683E+02                      0.293842756E+04
     0.100000000E-19                      0.296059473E+05                      0.221671683E+02                      0.295837802E+05
     0.100000000E-20                      0.296059473E+06                      0.221671683E+02                      0.296037306E+06
     0.100000000E-21                      0.296059473E+07                      0.221671683E+02                      0.296057257E+07
     0.100000000E-22                      0.296059473E+08                      0.221671683E+02                      0.296059252E+08
     0.100000000E-23                      0.296059473E+09                      0.221671683E+02                      0.296059451E+09
     0.100000000E-24                      0.296059473E+10                      0.221671683E+02                      0.296059471E+10
     0.100000000E-25                      0.296059473E+11                      0.221671683E+02                      0.296059473E+11
     0.100000000E-26                      0.296059473E+12                      0.221671683E+02                      0.296059473E+12
     0.100000000E-27                      0.296059473E+13                      0.221671683E+02                      0.296059473E+13
     0.100000000E-28                      0.296059473E+14                      0.221671683E+02                      0.296059473E+14
     0.100000000E-29                      0.296059473E+15                      0.221671683E+02                      0.296059473E+15
