#       N          p     Er_R(x     Er_A(y
     0        0.2360000000000E+01             0.2711864406780E+00             0.3424256000000E+01
     1        0.2127196780159E+01             0.1094413182704E+00             0.3710998462472E+00
     2        0.2095136036934E+01             0.1530246373505E-01             0.6526625953686E-02
     3        0.2094551673824E+01             0.2789919755475E-03             0.2146143142312E-05
     4        0.2094551481542E+01             0.9180099981227E-07             0.2327027459614E-12
     5        0.2094551481542E+01             0.9964993960227E-14             0.8881784197001E-15
