 #        t           S        I       R
  0.750000000E+01  0.802654256E+03  0.155389566E+03  0.419561775E+02
  0.760000000E+01  0.796348378E+03  0.160117983E+03  0.435336386E+02
  0.770000000E+01  0.789903461E+03  0.164937698E+03  0.451588415E+02
  0.780000000E+01  0.783320147E+03  0.169847161E+03  0.468326917E+02
  0.790000000E+01  0.776599329E+03  0.174844593E+03  0.485560780E+02
  0.800000000E+01  0.769742154E+03  0.179927976E+03  0.503298701E+02
  0.810000000E+01  0.762750029E+03  0.185095055E+03  0.521549165E+02
  0.820000000E+01  0.755624632E+03  0.190343326E+03  0.540320419E+02
  0.830000000E+01  0.748367914E+03  0.195670041E+03  0.559620445E+02
  0.840000000E+01  0.740982103E+03  0.201072203E+03  0.579456942E+02
  0.850000000E+01  0.733469707E+03  0.206546564E+03  0.599837293E+02
  0.860000000E+01  0.725833516E+03  0.212089630E+03  0.620768545E+02
  0.870000000E+01  0.718076602E+03  0.217697659E+03  0.642257385E+02
  0.880000000E+01  0.710202321E+03  0.223366668E+03  0.664310110E+02
  0.890000000E+01  0.702214308E+03  0.229092431E+03  0.686932610E+02
  0.900000000E+01  0.694116472E+03  0.234870494E+03  0.710130340E+02
  0.910000000E+01  0.685912999E+03  0.240696172E+03  0.733908296E+02
  0.920000000E+01  0.677608336E+03  0.246564565E+03  0.758270998E+02
  0.930000000E+01  0.669207190E+03  0.252470564E+03  0.783222463E+02
  0.940000000E+01  0.660714516E+03  0.258408865E+03  0.808766188E+02
  0.950000000E+01  0.652135511E+03  0.264373976E+03  0.834905130E+02
  0.960000000E+01  0.643475594E+03  0.270360237E+03  0.861641688E+02
  0.970000000E+01  0.634740402E+03  0.276361829E+03  0.888977689E+02
  0.980000000E+01  0.625935769E+03  0.282372794E+03  0.916914367E+02
  0.990000000E+01  0.617067714E+03  0.288387050E+03  0.945452357E+02
  0.100000000E+02  0.608142424E+03  0.294398408E+03  0.974591680E+02
  0.101000000E+02  0.599166233E+03  0.300400593E+03  0.100433173E+03
  0.102000000E+02  0.590145610E+03  0.306387262E+03  0.103467128E+03
  0.103000000E+02  0.581087133E+03  0.312352021E+03  0.106560846E+03
  0.104000000E+02  0.571997473E+03  0.318288453E+03  0.109714074E+03
  0.105000000E+02  0.562883371E+03  0.324190130E+03  0.112926499E+03
  0.106000000E+02  0.553751620E+03  0.330050641E+03  0.116197740E+03
  0.107000000E+02  0.544609040E+03  0.335863607E+03  0.119527353E+03
  0.108000000E+02  0.535462459E+03  0.341622709E+03  0.122914832E+03
  0.109000000E+02  0.526318693E+03  0.347321700E+03  0.126359607E+03
  0.110000000E+02  0.517184521E+03  0.352954434E+03  0.129861045E+03
  0.111000000E+02  0.508066666E+03  0.358514879E+03  0.133418455E+03
  0.112000000E+02  0.498971776E+03  0.363997142E+03  0.137031082E+03
  0.113000000E+02  0.489906402E+03  0.369395481E+03  0.140698118E+03
  0.114000000E+02  0.480876979E+03  0.374704327E+03  0.144418694E+03
  0.115000000E+02  0.471889810E+03  0.379918302E+03  0.148191888E+03
  0.116000000E+02  0.462951045E+03  0.385032229E+03  0.152016726E+03
  0.117000000E+02  0.454066667E+03  0.390041150E+03  0.155892182E+03
  0.118000000E+02  0.445242478E+03  0.394940339E+03  0.159817183E+03
  0.119000000E+02  0.436484080E+03  0.399725312E+03  0.163790608E+03
  0.120000000E+02  0.427796866E+03  0.404391839E+03  0.167811295E+03
  0.121000000E+02  0.419186010E+03  0.408935953E+03  0.171878037E+03
  0.122000000E+02  0.410656450E+03  0.413353956E+03  0.175989593E+03
  0.123000000E+02  0.402212888E+03  0.417642427E+03  0.180144684E+03
  0.124000000E+02  0.393859776E+03  0.421798225E+03  0.184342000E+03
  0.125000000E+02  0.385601309E+03  0.425818494E+03  0.188580197E+03
  0.126000000E+02  0.377441428E+03  0.429700663E+03  0.192857909E+03
  0.127000000E+02  0.369383807E+03  0.433442450E+03  0.197173742E+03
  0.128000000E+02  0.361431858E+03  0.437041858E+03  0.201526283E+03
  0.129000000E+02  0.353588726E+03  0.440497174E+03  0.205914099E+03
  0.130000000E+02  0.345857291E+03  0.443806968E+03  0.210335742E+03
  0.131000000E+02  0.338240167E+03  0.446970084E+03  0.214789750E+03
  0.132000000E+02  0.330739708E+03  0.449985640E+03  0.219274652E+03
  0.133000000E+02  0.323358011E+03  0.452853021E+03  0.223788968E+03
  0.134000000E+02  0.316096915E+03  0.455571868E+03  0.228331217E+03
  0.135000000E+02  0.308958015E+03  0.458142075E+03  0.232899910E+03
  0.136000000E+02  0.301942659E+03  0.460563778E+03  0.237493563E+03
  0.137000000E+02  0.295051962E+03  0.462837346E+03  0.242110692E+03
  0.138000000E+02  0.288286810E+03  0.464963372E+03  0.246749818E+03
  0.139000000E+02  0.281647867E+03  0.466942663E+03  0.251409470E+03
  0.140000000E+02  0.275135586E+03  0.468776228E+03  0.256088186E+03
  0.141000000E+02  0.268750215E+03  0.470465272E+03  0.260784513E+03
  0.142000000E+02  0.262491808E+03  0.472011178E+03  0.265497014E+03
  0.143000000E+02  0.256360234E+03  0.473415501E+03  0.270224265E+03
  0.144000000E+02  0.250355186E+03  0.474679956E+03  0.274964858E+03
  0.145000000E+02  0.244476191E+03  0.475806405E+03  0.279717404E+03
  0.146000000E+02  0.238722617E+03  0.476796850E+03  0.284480533E+03
  0.147000000E+02  0.233093689E+03  0.477653416E+03  0.289252895E+03
  0.148000000E+02  0.227588491E+03  0.478378347E+03  0.294033162E+03
  0.149000000E+02  0.222205981E+03  0.478973989E+03  0.298820031E+03
  0.150000000E+02  0.216944997E+03  0.479442784E+03  0.303612219E+03
