 #        t           S        I       R
  0.372000000E+02  0.110254457E+02  0.894747347E+02  0.899499820E+03
  0.373000000E+02  0.109764622E+02  0.886331850E+02  0.900390353E+03
  0.374000000E+02  0.109281541E+02  0.877993369E+02  0.901272509E+03
  0.375000000E+02  0.108805101E+02  0.869731250E+02  0.902146365E+03
  0.376000000E+02  0.108335193E+02  0.861544840E+02  0.903011997E+03
  0.377000000E+02  0.107871709E+02  0.853433494E+02  0.903869480E+03
  0.378000000E+02  0.107414545E+02  0.845396570E+02  0.904718888E+03
  0.379000000E+02  0.106963596E+02  0.837433430E+02  0.905560297E+03
  0.380000000E+02  0.106518762E+02  0.829543440E+02  0.906393780E+03
  0.381000000E+02  0.106079944E+02  0.821725972E+02  0.907219408E+03
  0.382000000E+02  0.105647044E+02  0.813980400E+02  0.908037256E+03
  0.383000000E+02  0.105219966E+02  0.806306104E+02  0.908847393E+03
  0.384000000E+02  0.104798618E+02  0.798702468E+02  0.909649891E+03
  0.385000000E+02  0.104382907E+02  0.791168880E+02  0.910444821E+03
  0.386000000E+02  0.103972743E+02  0.783704734E+02  0.911232252E+03
  0.387000000E+02  0.103568038E+02  0.776309425E+02  0.912012254E+03
  0.388000000E+02  0.103168706E+02  0.768982355E+02  0.912784894E+03
  0.389000000E+02  0.102774661E+02  0.761722929E+02  0.913550241E+03
  0.390000000E+02  0.102385820E+02  0.754530558E+02  0.914308362E+03
  0.391000000E+02  0.102002102E+02  0.747404656E+02  0.915059324E+03
  0.392000000E+02  0.101623425E+02  0.740344641E+02  0.915803193E+03
  0.393000000E+02  0.101249712E+02  0.733349935E+02  0.916540035E+03
  0.394000000E+02  0.100880885E+02  0.726419966E+02  0.917269915E+03
  0.395000000E+02  0.100516868E+02  0.719554166E+02  0.917992897E+03
  0.396000000E+02  0.100157587E+02  0.712751969E+02  0.918709044E+03
  0.397000000E+02  0.998029691E+01  0.706012816E+02  0.919418422E+03
  0.398000000E+02  0.994529420E+01  0.699336150E+02  0.920121091E+03
  0.399000000E+02  0.991074355E+01  0.692721420E+02  0.920817114E+03
  0.400000000E+02  0.987663807E+01  0.686168078E+02  0.921506554E+03
  0.401000000E+02  0.984297097E+01  0.679675581E+02  0.922189471E+03
  0.402000000E+02  0.980973560E+01  0.673243390E+02  0.922865925E+03
  0.403000000E+02  0.977692542E+01  0.666870970E+02  0.923535978E+03
  0.404000000E+02  0.974453400E+01  0.660557789E+02  0.924199687E+03
  0.405000000E+02  0.971255506E+01  0.654303322E+02  0.924857113E+03
  0.406000000E+02  0.968098239E+01  0.648107045E+02  0.925508313E+03
  0.407000000E+02  0.964980992E+01  0.641968440E+02  0.926153346E+03
  0.408000000E+02  0.961903168E+01  0.635886993E+02  0.926792269E+03
  0.409000000E+02  0.958864181E+01  0.629862192E+02  0.927425139E+03
  0.410000000E+02  0.955863455E+01  0.623893533E+02  0.928052012E+03
  0.411000000E+02  0.952900424E+01  0.617980512E+02  0.928672945E+03
  0.412000000E+02  0.949974533E+01  0.612122631E+02  0.929287992E+03
  0.413000000E+02  0.947085235E+01  0.606319396E+02  0.929897208E+03
  0.414000000E+02  0.944231994E+01  0.600570317E+02  0.930500648E+03
  0.415000000E+02  0.941414284E+01  0.594874906E+02  0.931098367E+03
  0.416000000E+02  0.938631586E+01  0.589232682E+02  0.931690416E+03
  0.417000000E+02  0.935883391E+01  0.583643166E+02  0.932276849E+03
  0.418000000E+02  0.933169201E+01  0.578105883E+02  0.932857720E+03
  0.419000000E+02  0.930488523E+01  0.572620363E+02  0.933433079E+03
  0.420000000E+02  0.927840875E+01  0.567186137E+02  0.934002978E+03
  0.421000000E+02  0.925225781E+01  0.561802745E+02  0.934567468E+03
  0.422000000E+02  0.922642777E+01  0.556469724E+02  0.935126600E+03
  0.423000000E+02  0.920091402E+01  0.551186622E+02  0.935680424E+03
  0.424000000E+02  0.917571207E+01  0.545952984E+02  0.936228990E+03
  0.425000000E+02  0.915081748E+01  0.540768364E+02  0.936772346E+03
  0.426000000E+02  0.912622590E+01  0.535632317E+02  0.937310542E+03
  0.427000000E+02  0.910193305E+01  0.530544401E+02  0.937843627E+03
  0.428000000E+02  0.907793472E+01  0.525504181E+02  0.938371647E+03
  0.429000000E+02  0.905422676E+01  0.520511223E+02  0.938894651E+03
  0.430000000E+02  0.903080510E+01  0.515565097E+02  0.939412685E+03
  0.431000000E+02  0.900766576E+01  0.510665377E+02  0.939925797E+03
  0.432000000E+02  0.898480477E+01  0.505811639E+02  0.940434031E+03
  0.433000000E+02  0.896221829E+01  0.501003467E+02  0.940937435E+03
  0.434000000E+02  0.893990249E+01  0.496240442E+02  0.941436053E+03
  0.435000000E+02  0.891785364E+01  0.491522155E+02  0.941929931E+03
  0.436000000E+02  0.889606805E+01  0.486848196E+02  0.942419112E+03
  0.437000000E+02  0.887454209E+01  0.482218160E+02  0.942903642E+03
  0.438000000E+02  0.885327221E+01  0.477631646E+02  0.943383563E+03
  0.439000000E+02  0.883225490E+01  0.473088255E+02  0.943858920E+03
  0.440000000E+02  0.881148671E+01  0.468587594E+02  0.944329754E+03
  0.441000000E+02  0.879096425E+01  0.464129269E+02  0.944796109E+03
  0.442000000E+02  0.877068417E+01  0.459712894E+02  0.945258026E+03
  0.443000000E+02  0.875064320E+01  0.455338083E+02  0.945715548E+03
  0.444000000E+02  0.873083809E+01  0.451004456E+02  0.946168716E+03
  0.445000000E+02  0.871126568E+01  0.446711633E+02  0.946617571E+03
  0.446000000E+02  0.869192282E+01  0.442459241E+02  0.947062153E+03
  0.447000000E+02  0.867280644E+01  0.438246907E+02  0.947502503E+03
  0.448000000E+02  0.865391351E+01  0.434074264E+02  0.947938660E+03
  0.449000000E+02  0.863524104E+01  0.429940945E+02  0.948370664E+03
  0.450000000E+02  0.861678610E+01  0.425846589E+02  0.948798555E+03
  0.451000000E+02  0.859854580E+01  0.421790837E+02  0.949222371E+03
  0.452000000E+02  0.858051728E+01  0.417773333E+02  0.949642149E+03
  0.453000000E+02  0.856269776E+01  0.413793724E+02  0.950057930E+03
  0.454000000E+02  0.854508447E+01  0.409851661E+02  0.950469749E+03
  0.455000000E+02  0.852767469E+01  0.405946798E+02  0.950877646E+03
  0.456000000E+02  0.851046576E+01  0.402078790E+02  0.951281655E+03
  0.457000000E+02  0.849345504E+01  0.398247297E+02  0.951681815E+03
  0.458000000E+02  0.847663995E+01  0.394451981E+02  0.952078162E+03
  0.459000000E+02  0.846001792E+01  0.390692509E+02  0.952470731E+03
  0.460000000E+02  0.844358646E+01  0.386968548E+02  0.952859559E+03
  0.461000000E+02  0.842734308E+01  0.383279769E+02  0.953244680E+03
  0.462000000E+02  0.841128535E+01  0.379625847E+02  0.953626130E+03
  0.463000000E+02  0.839541087E+01  0.376006459E+02  0.954003943E+03
  0.464000000E+02  0.837971728E+01  0.372421285E+02  0.954378154E+03
  0.465000000E+02  0.836420225E+01  0.368870006E+02  0.954748797E+03
  0.466000000E+02  0.834886349E+01  0.365352310E+02  0.955115905E+03
  0.467000000E+02  0.833369874E+01  0.361867885E+02  0.955479513E+03
  0.468000000E+02  0.831870578E+01  0.358416420E+02  0.955839652E+03
  0.469000000E+02  0.830388241E+01  0.354997611E+02  0.956196357E+03
  0.470000000E+02  0.828922648E+01  0.351611153E+02  0.956549658E+03
  0.471000000E+02  0.827473586E+01  0.348256746E+02  0.956899590E+03
  0.472000000E+02  0.826040846E+01  0.344934092E+02  0.957246182E+03
  0.473000000E+02  0.824624221E+01  0.341642896E+02  0.957589468E+03
  0.474000000E+02  0.823223509E+01  0.338382864E+02  0.957929478E+03
  0.475000000E+02  0.821838508E+01  0.335153707E+02  0.958266244E+03
  0.476000000E+02  0.820469021E+01  0.331955137E+02  0.958599796E+03
  0.477000000E+02  0.819114854E+01  0.328786869E+02  0.958930165E+03
  0.478000000E+02  0.817775816E+01  0.325648620E+02  0.959257380E+03
  0.479000000E+02  0.816451716E+01  0.322540111E+02  0.959581472E+03
  0.480000000E+02  0.815142370E+01  0.319461064E+02  0.959902470E+03
  0.481000000E+02  0.813847593E+01  0.316411205E+02  0.960220404E+03
  0.482000000E+02  0.812567205E+01  0.313390260E+02  0.960535302E+03
  0.483000000E+02  0.811301028E+01  0.310397961E+02  0.960847194E+03
  0.484000000E+02  0.810048885E+01  0.307434038E+02  0.961156107E+03
  0.485000000E+02  0.808810604E+01  0.304498228E+02  0.961462071E+03
  0.486000000E+02  0.807586015E+01  0.301590268E+02  0.961765113E+03
  0.487000000E+02  0.806374948E+01  0.298709897E+02  0.962065261E+03
  0.488000000E+02  0.805177238E+01  0.295856857E+02  0.962362542E+03
  0.489000000E+02  0.803992722E+01  0.293030892E+02  0.962656984E+03
  0.490000000E+02  0.802821238E+01  0.290231749E+02  0.962948613E+03
  0.491000000E+02  0.801662627E+01  0.287459178E+02  0.963237456E+03
  0.492000000E+02  0.800516733E+01  0.284712929E+02  0.963523540E+03
  0.493000000E+02  0.799383401E+01  0.281992755E+02  0.963806890E+03
  0.494000000E+02  0.798262479E+01  0.279298413E+02  0.964087534E+03
  0.495000000E+02  0.797153817E+01  0.276629660E+02  0.964365496E+03
  0.496000000E+02  0.796057266E+01  0.273986256E+02  0.964640802E+03
  0.497000000E+02  0.794972681E+01  0.271367965E+02  0.964913477E+03
  0.498000000E+02  0.793899917E+01  0.268774549E+02  0.965183546E+03
  0.499000000E+02  0.792838833E+01  0.266205776E+02  0.965451034E+03
  0.500000000E+02  0.791789288E+01  0.263661415E+02  0.965715966E+03
  0.501000000E+02  0.790751145E+01  0.261141236E+02  0.965978365E+03
  0.502000000E+02  0.789724266E+01  0.258645013E+02  0.966238256E+03
  0.503000000E+02  0.788708518E+01  0.256172520E+02  0.966495663E+03
  0.504000000E+02  0.787703767E+01  0.253723534E+02  0.966750609E+03
  0.505000000E+02  0.786709885E+01  0.251297835E+02  0.967003118E+03
  0.506000000E+02  0.785726740E+01  0.248895203E+02  0.967253212E+03
  0.507000000E+02  0.784754206E+01  0.246515422E+02  0.967500916E+03
  0.508000000E+02  0.783792158E+01  0.244158277E+02  0.967746251E+03
  0.509000000E+02  0.782840472E+01  0.241823555E+02  0.967989240E+03
  0.510000000E+02  0.781899025E+01  0.239511045E+02  0.968229905E+03
  0.511000000E+02  0.780967697E+01  0.237220539E+02  0.968468269E+03
  0.512000000E+02  0.780046370E+01  0.234951828E+02  0.968704354E+03
  0.513000000E+02  0.779134925E+01  0.232704707E+02  0.968938180E+03
  0.514000000E+02  0.778233248E+01  0.230478974E+02  0.969169770E+03
  0.515000000E+02  0.777341224E+01  0.228274427E+02  0.969399145E+03
  0.516000000E+02  0.776458739E+01  0.226090867E+02  0.969626326E+03
  0.517000000E+02  0.775585684E+01  0.223928095E+02  0.969851334E+03
  0.518000000E+02  0.774721949E+01  0.221785915E+02  0.970074189E+03
  0.519000000E+02  0.773867424E+01  0.219664134E+02  0.970294912E+03
  0.520000000E+02  0.773022004E+01  0.217562560E+02  0.970513524E+03
  0.521000000E+02  0.772185583E+01  0.215481001E+02  0.970730044E+03
  0.522000000E+02  0.771358057E+01  0.213419268E+02  0.970944493E+03
  0.523000000E+02  0.770539322E+01  0.211377176E+02  0.971156889E+03
  0.524000000E+02  0.769729279E+01  0.209354538E+02  0.971367253E+03
  0.525000000E+02  0.768927826E+01  0.207351170E+02  0.971575605E+03
  0.526000000E+02  0.768134865E+01  0.205366892E+02  0.971781962E+03
  0.527000000E+02  0.767350299E+01  0.203401522E+02  0.971986345E+03
  0.528000000E+02  0.766574031E+01  0.201454883E+02  0.972188771E+03
  0.529000000E+02  0.765805967E+01  0.199526796E+02  0.972389261E+03
  0.530000000E+02  0.765046012E+01  0.197617087E+02  0.972587831E+03
  0.531000000E+02  0.764294075E+01  0.195725583E+02  0.972784501E+03
  0.532000000E+02  0.763550063E+01  0.193852110E+02  0.972979288E+03
  0.533000000E+02  0.762813887E+01  0.191996500E+02  0.973172211E+03
  0.534000000E+02  0.762085457E+01  0.190158582E+02  0.973363287E+03
  0.535000000E+02  0.761364687E+01  0.188338190E+02  0.973552534E+03
  0.536000000E+02  0.760651488E+01  0.186535157E+02  0.973739969E+03
  0.537000000E+02  0.759945776E+01  0.184749320E+02  0.973925610E+03
  0.538000000E+02  0.759247465E+01  0.182980516E+02  0.974109474E+03
  0.539000000E+02  0.758556473E+01  0.181228584E+02  0.974291577E+03
  0.540000000E+02  0.757872717E+01  0.179493364E+02  0.974471936E+03
  0.541000000E+02  0.757196115E+01  0.177774697E+02  0.974650569E+03
  0.542000000E+02  0.756526587E+01  0.176072428E+02  0.974827491E+03
  0.543000000E+02  0.755864054E+01  0.174386401E+02  0.975002719E+03
  0.544000000E+02  0.755208437E+01  0.172716462E+02  0.975176269E+03
  0.545000000E+02  0.754559659E+01  0.171062458E+02  0.975348158E+03
  0.546000000E+02  0.753917644E+01  0.169424239E+02  0.975518400E+03
  0.547000000E+02  0.753282315E+01  0.167801655E+02  0.975687011E+03
  0.548000000E+02  0.752653599E+01  0.166194559E+02  0.975854008E+03
  0.549000000E+02  0.752031421E+01  0.164602803E+02  0.976019406E+03
  0.550000000E+02  0.751415710E+01  0.163026241E+02  0.976183219E+03
  0.551000000E+02  0.750806393E+01  0.161464730E+02  0.976345463E+03
  0.552000000E+02  0.750203399E+01  0.159918128E+02  0.976506153E+03
  0.553000000E+02  0.749606658E+01  0.158386292E+02  0.976665304E+03
  0.554000000E+02  0.749016102E+01  0.156869083E+02  0.976822931E+03
  0.555000000E+02  0.748431661E+01  0.155366362E+02  0.976979047E+03
  0.556000000E+02  0.747853268E+01  0.153877991E+02  0.977133668E+03
  0.557000000E+02  0.747280857E+01  0.152403835E+02  0.977286808E+03
  0.558000000E+02  0.746714362E+01  0.150943758E+02  0.977438481E+03
  0.559000000E+02  0.746153717E+01  0.149497627E+02  0.977588700E+03
  0.560000000E+02  0.745598858E+01  0.148065310E+02  0.977737480E+03
  0.561000000E+02  0.745049723E+01  0.146646675E+02  0.977884835E+03
  0.562000000E+02  0.744506247E+01  0.145241592E+02  0.978030778E+03
  0.563000000E+02  0.743968369E+01  0.143849934E+02  0.978175323E+03
  0.564000000E+02  0.743436029E+01  0.142471571E+02  0.978318483E+03
  0.565000000E+02  0.742909164E+01  0.141106379E+02  0.978460270E+03
  0.566000000E+02  0.742387717E+01  0.139754231E+02  0.978600700E+03
  0.567000000E+02  0.741871627E+01  0.138415005E+02  0.978739783E+03
  0.568000000E+02  0.741360836E+01  0.137088577E+02  0.978877534E+03
  0.569000000E+02  0.740855286E+01  0.135774825E+02  0.979013965E+03
  0.570000000E+02  0.740354922E+01  0.134473630E+02  0.979149088E+03
  0.571000000E+02  0.739859686E+01  0.133184871E+02  0.979282916E+03
  0.572000000E+02  0.739369522E+01  0.131908431E+02  0.979415462E+03
  0.573000000E+02  0.738884377E+01  0.130644193E+02  0.979546737E+03
  0.574000000E+02  0.738404195E+01  0.129392040E+02  0.979676754E+03
  0.575000000E+02  0.737928923E+01  0.128151858E+02  0.979805525E+03
  0.576000000E+02  0.737458508E+01  0.126923532E+02  0.979933062E+03
  0.577000000E+02  0.736992897E+01  0.125706950E+02  0.980059376E+03
  0.578000000E+02  0.736532039E+01  0.124502001E+02  0.980184480E+03
  0.579000000E+02  0.736075883E+01  0.123308573E+02  0.980308384E+03
  0.580000000E+02  0.735624378E+01  0.122126558E+02  0.980431100E+03
  0.581000000E+02  0.735177474E+01  0.120955845E+02  0.980552641E+03
  0.582000000E+02  0.734735121E+01  0.119796329E+02  0.980673016E+03
  0.583000000E+02  0.734297272E+01  0.118647902E+02  0.980792237E+03
  0.584000000E+02  0.733863877E+01  0.117510459E+02  0.980910315E+03
  0.585000000E+02  0.733434889E+01  0.116383895E+02  0.981027262E+03
  0.586000000E+02  0.733010261E+01  0.115268107E+02  0.981143087E+03
  0.587000000E+02  0.732589947E+01  0.114162991E+02  0.981257801E+03
  0.588000000E+02  0.732173899E+01  0.113068448E+02  0.981371416E+03
  0.589000000E+02  0.731762074E+01  0.111984375E+02  0.981483942E+03
  0.590000000E+02  0.731354425E+01  0.110910673E+02  0.981595388E+03
  0.591000000E+02  0.730950909E+01  0.109847244E+02  0.981705767E+03
  0.592000000E+02  0.730551481E+01  0.108793989E+02  0.981815086E+03
  0.593000000E+02  0.730156099E+01  0.107750811E+02  0.981923358E+03
  0.594000000E+02  0.729764718E+01  0.106717616E+02  0.982030591E+03
  0.595000000E+02  0.729377297E+01  0.105694306E+02  0.982136796E+03
  0.596000000E+02  0.728993794E+01  0.104680789E+02  0.982241983E+03
  0.597000000E+02  0.728614167E+01  0.103676971E+02  0.982346161E+03
  0.598000000E+02  0.728238375E+01  0.102682760E+02  0.982449340E+03
  0.599000000E+02  0.727866378E+01  0.101698063E+02  0.982551530E+03
  0.600000000E+02  0.727498136E+01  0.100722791E+02  0.982652740E+03
  0.601000000E+02  0.727133608E+01  0.997568531E+01  0.982752979E+03
  0.602000000E+02  0.726772757E+01  0.988001608E+01  0.982852256E+03
  0.603000000E+02  0.726415543E+01  0.978526259E+01  0.982950582E+03
  0.604000000E+02  0.726061928E+01  0.969141610E+01  0.983047965E+03
  0.605000000E+02  0.725711874E+01  0.959846797E+01  0.983144413E+03
  0.606000000E+02  0.725365343E+01  0.950640962E+01  0.983239937E+03
  0.607000000E+02  0.725022299E+01  0.941523258E+01  0.983334544E+03
  0.608000000E+02  0.724682706E+01  0.932492843E+01  0.983428245E+03
  0.609000000E+02  0.724346526E+01  0.923548886E+01  0.983521046E+03
  0.610000000E+02  0.724013724E+01  0.914690562E+01  0.983612957E+03
  0.611000000E+02  0.723684266E+01  0.905917053E+01  0.983703987E+03
  0.612000000E+02  0.723358115E+01  0.897227550E+01  0.983794143E+03
  0.613000000E+02  0.723035237E+01  0.888621253E+01  0.983883435E+03
  0.614000000E+02  0.722715599E+01  0.880097366E+01  0.983971870E+03
  0.615000000E+02  0.722399166E+01  0.871655104E+01  0.984059457E+03
  0.616000000E+02  0.722085905E+01  0.863293689E+01  0.984146204E+03
  0.617000000E+02  0.721775783E+01  0.855012347E+01  0.984232119E+03
  0.618000000E+02  0.721468767E+01  0.846810315E+01  0.984317209E+03
  0.619000000E+02  0.721164825E+01  0.838686837E+01  0.984401483E+03
  0.620000000E+02  0.720863925E+01  0.830641161E+01  0.984484949E+03
  0.621000000E+02  0.720566035E+01  0.822672546E+01  0.984567614E+03
  0.622000000E+02  0.720271125E+01  0.814780256E+01  0.984649486E+03
  0.623000000E+02  0.719979162E+01  0.806963562E+01  0.984730573E+03
  0.624000000E+02  0.719690118E+01  0.799221742E+01  0.984810881E+03
  0.625000000E+02  0.719403960E+01  0.791554082E+01  0.984890420E+03
  0.626000000E+02  0.719120661E+01  0.783959873E+01  0.984969195E+03
  0.627000000E+02  0.718840189E+01  0.776438414E+01  0.985047214E+03
  0.628000000E+02  0.718562516E+01  0.768989009E+01  0.985124485E+03
  0.629000000E+02  0.718287613E+01  0.761610972E+01  0.985201014E+03
  0.630000000E+02  0.718015451E+01  0.754303619E+01  0.985276809E+03
  0.631000000E+02  0.717746002E+01  0.747066277E+01  0.985351877E+03
  0.632000000E+02  0.717479238E+01  0.739898276E+01  0.985426225E+03
  0.633000000E+02  0.717215131E+01  0.732798953E+01  0.985499859E+03
  0.634000000E+02  0.716953654E+01  0.725767654E+01  0.985572787E+03
  0.635000000E+02  0.716694780E+01  0.718803727E+01  0.985645015E+03
  0.636000000E+02  0.716438482E+01  0.711906528E+01  0.985716550E+03
  0.637000000E+02  0.716184734E+01  0.705075422E+01  0.985787398E+03
  0.638000000E+02  0.715933509E+01  0.698309775E+01  0.985857567E+03
  0.639000000E+02  0.715684782E+01  0.691608962E+01  0.985927063E+03
  0.640000000E+02  0.715438527E+01  0.684972364E+01  0.985995891E+03
  0.641000000E+02  0.715194718E+01  0.678399367E+01  0.986064059E+03
  0.642000000E+02  0.714953331E+01  0.671889363E+01  0.986131573E+03
  0.643000000E+02  0.714714340E+01  0.665441749E+01  0.986198439E+03
  0.644000000E+02  0.714477722E+01  0.659055931E+01  0.986264663E+03
  0.645000000E+02  0.714243451E+01  0.652731316E+01  0.986330252E+03
  0.646000000E+02  0.714011505E+01  0.646467319E+01  0.986395212E+03
  0.647000000E+02  0.713781858E+01  0.640263362E+01  0.986459548E+03
  0.648000000E+02  0.713554489E+01  0.634118870E+01  0.986523266E+03
  0.649000000E+02  0.713329372E+01  0.628033274E+01  0.986586374E+03
  0.650000000E+02  0.713106487E+01  0.622006012E+01  0.986648875E+03
  0.651000000E+02  0.712885808E+01  0.616036526E+01  0.986710777E+03
  0.652000000E+02  0.712667315E+01  0.610124262E+01  0.986772084E+03
  0.653000000E+02  0.712450985E+01  0.604268674E+01  0.986832803E+03
  0.654000000E+02  0.712236796E+01  0.598469221E+01  0.986892940E+03
  0.655000000E+02  0.712024726E+01  0.592725364E+01  0.986952499E+03
  0.656000000E+02  0.711814754E+01  0.587036572E+01  0.987011487E+03
  0.657000000E+02  0.711606858E+01  0.581402319E+01  0.987069908E+03
  0.658000000E+02  0.711401017E+01  0.575822082E+01  0.987127769E+03
  0.659000000E+02  0.711197211E+01  0.570295346E+01  0.987185074E+03
  0.660000000E+02  0.710995418E+01  0.564821598E+01  0.987241830E+03
  0.661000000E+02  0.710795618E+01  0.559400332E+01  0.987298041E+03
  0.662000000E+02  0.710597792E+01  0.554031044E+01  0.987353712E+03
  0.663000000E+02  0.710401918E+01  0.548713239E+01  0.987408848E+03
  0.664000000E+02  0.710207978E+01  0.543446423E+01  0.987463456E+03
  0.665000000E+02  0.710015952E+01  0.538230109E+01  0.987517539E+03
  0.666000000E+02  0.709825820E+01  0.533063813E+01  0.987571104E+03
  0.667000000E+02  0.709637563E+01  0.527947056E+01  0.987624154E+03
  0.668000000E+02  0.709451163E+01  0.522879365E+01  0.987676695E+03
  0.669000000E+02  0.709266600E+01  0.517860270E+01  0.987728731E+03
  0.670000000E+02  0.709083855E+01  0.512889307E+01  0.987780268E+03
  0.671000000E+02  0.708902912E+01  0.507966013E+01  0.987831311E+03
  0.672000000E+02  0.708723751E+01  0.503089934E+01  0.987881863E+03
  0.673000000E+02  0.708546354E+01  0.498260616E+01  0.987931930E+03
  0.674000000E+02  0.708370704E+01  0.493477613E+01  0.987981517E+03
  0.675000000E+02  0.708196783E+01  0.488740482E+01  0.988030627E+03
  0.676000000E+02  0.708024574E+01  0.484048783E+01  0.988079266E+03
  0.677000000E+02  0.707854059E+01  0.479402080E+01  0.988127439E+03
  0.678000000E+02  0.707685222E+01  0.474799945E+01  0.988175148E+03
  0.679000000E+02  0.707518045E+01  0.470241949E+01  0.988222400E+03
  0.680000000E+02  0.707352511E+01  0.465727670E+01  0.988269198E+03
  0.681000000E+02  0.707188606E+01  0.461256690E+01  0.988315547E+03
  0.682000000E+02  0.707026311E+01  0.456828594E+01  0.988361451E+03
  0.683000000E+02  0.706865610E+01  0.452442972E+01  0.988406914E+03
  0.684000000E+02  0.706706489E+01  0.448099416E+01  0.988451941E+03
  0.685000000E+02  0.706548930E+01  0.443797525E+01  0.988496535E+03
  0.686000000E+02  0.706392919E+01  0.439536898E+01  0.988540702E+03
  0.687000000E+02  0.706238439E+01  0.435317142E+01  0.988584444E+03
  0.688000000E+02  0.706085476E+01  0.431137863E+01  0.988627767E+03
  0.689000000E+02  0.705934014E+01  0.426998676E+01  0.988670673E+03
  0.690000000E+02  0.705784038E+01  0.422899195E+01  0.988713168E+03
  0.691000000E+02  0.705635534E+01  0.418839041E+01  0.988755254E+03
  0.692000000E+02  0.705488486E+01  0.414817837E+01  0.988796937E+03
  0.693000000E+02  0.705342880E+01  0.410835210E+01  0.988838219E+03
  0.694000000E+02  0.705198701E+01  0.406890790E+01  0.988879105E+03
  0.695000000E+02  0.705055936E+01  0.402984212E+01  0.988919599E+03
  0.696000000E+02  0.704914570E+01  0.399115112E+01  0.988959703E+03
  0.697000000E+02  0.704774589E+01  0.395283132E+01  0.988999423E+03
  0.698000000E+02  0.704635980E+01  0.391487917E+01  0.989038761E+03
  0.699000000E+02  0.704498728E+01  0.387729114E+01  0.989077722E+03
  0.700000000E+02  0.704362821E+01  0.384006374E+01  0.989116308E+03
  0.701000000E+02  0.704228244E+01  0.380319351E+01  0.989154524E+03
  0.702000000E+02  0.704094985E+01  0.376667705E+01  0.989192373E+03
  0.703000000E+02  0.703963030E+01  0.373051095E+01  0.989229859E+03
  0.704000000E+02  0.703832366E+01  0.369469186E+01  0.989266984E+03
  0.705000000E+02  0.703702981E+01  0.365921645E+01  0.989303754E+03
  0.706000000E+02  0.703574862E+01  0.362408144E+01  0.989340170E+03
  0.707000000E+02  0.703447996E+01  0.358928355E+01  0.989376236E+03
  0.708000000E+02  0.703322370E+01  0.355481957E+01  0.989411957E+03
  0.709000000E+02  0.703197973E+01  0.352068628E+01  0.989447334E+03
  0.710000000E+02  0.703074792E+01  0.348688053E+01  0.989482372E+03
  0.711000000E+02  0.702952816E+01  0.345339917E+01  0.989517073E+03
  0.712000000E+02  0.702832031E+01  0.342023909E+01  0.989551441E+03
  0.713000000E+02  0.702712426E+01  0.338739722E+01  0.989585479E+03
  0.714000000E+02  0.702593990E+01  0.335487050E+01  0.989619190E+03
  0.715000000E+02  0.702476711E+01  0.332265592E+01  0.989652577E+03
  0.716000000E+02  0.702360578E+01  0.329075048E+01  0.989685644E+03
  0.717000000E+02  0.702245578E+01  0.325915122E+01  0.989718393E+03
  0.718000000E+02  0.702131701E+01  0.322785521E+01  0.989750828E+03
  0.719000000E+02  0.702018937E+01  0.319685953E+01  0.989782951E+03
  0.720000000E+02  0.701907272E+01  0.316616132E+01  0.989814766E+03
  0.721000000E+02  0.701796698E+01  0.313575771E+01  0.989846275E+03
  0.722000000E+02  0.701687202E+01  0.310564589E+01  0.989877482E+03
  0.723000000E+02  0.701578775E+01  0.307582306E+01  0.989908389E+03
  0.724000000E+02  0.701471405E+01  0.304628644E+01  0.989939000E+03
  0.725000000E+02  0.701365083E+01  0.301703330E+01  0.989969316E+03
  0.726000000E+02  0.701259798E+01  0.298806092E+01  0.989999341E+03
  0.727000000E+02  0.701155539E+01  0.295936660E+01  0.990029078E+03
  0.728000000E+02  0.701052297E+01  0.293094768E+01  0.990058529E+03
  0.729000000E+02  0.700950061E+01  0.290280152E+01  0.990087698E+03
  0.730000000E+02  0.700848822E+01  0.287492550E+01  0.990116586E+03
  0.731000000E+02  0.700748569E+01  0.284731703E+01  0.990145197E+03
  0.732000000E+02  0.700649293E+01  0.281997356E+01  0.990173534E+03
  0.733000000E+02  0.700550985E+01  0.279289253E+01  0.990201598E+03
  0.734000000E+02  0.700453634E+01  0.276607144E+01  0.990229392E+03
  0.735000000E+02  0.700357231E+01  0.273950778E+01  0.990256920E+03
  0.736000000E+02  0.700261767E+01  0.271319910E+01  0.990284183E+03
  0.737000000E+02  0.700167233E+01  0.268714294E+01  0.990311185E+03
  0.738000000E+02  0.700073619E+01  0.266133689E+01  0.990337927E+03
  0.739000000E+02  0.699980917E+01  0.263577854E+01  0.990364412E+03
  0.740000000E+02  0.699889117E+01  0.261046552E+01  0.990390643E+03
  0.741000000E+02  0.699798210E+01  0.258539548E+01  0.990416622E+03
  0.742000000E+02  0.699708188E+01  0.256056609E+01  0.990442352E+03
  0.743000000E+02  0.699619042E+01  0.253597504E+01  0.990467835E+03
  0.744000000E+02  0.699530764E+01  0.251162005E+01  0.990493072E+03
  0.745000000E+02  0.699443344E+01  0.248749885E+01  0.990518068E+03
  0.746000000E+02  0.699356774E+01  0.246360919E+01  0.990542823E+03
  0.747000000E+02  0.699271047E+01  0.243994887E+01  0.990567341E+03
  0.748000000E+02  0.699186153E+01  0.241651567E+01  0.990591623E+03
  0.749000000E+02  0.699102085E+01  0.239330743E+01  0.990615672E+03
