 n                  x                       P
154          0.38693467E+01          0.23172853E+01
155          0.38944724E+01          0.23270818E+01
156          0.39195980E+01          0.23369599E+01
157          0.39447236E+01          0.23469207E+01
158          0.39698492E+01          0.23569657E+01
159          0.39949749E+01          0.23670959E+01
160          0.40201005E+01          0.23773128E+01
161          0.40452261E+01          0.23876175E+01
162          0.40703518E+01          0.23980113E+01
163          0.40954774E+01          0.24084955E+01
164          0.41206030E+01          0.24190713E+01
165          0.41457286E+01          0.24297401E+01
166          0.41708543E+01          0.24405029E+01
167          0.41959799E+01          0.24513612E+01
168          0.42211055E+01          0.24623162E+01
169          0.42462312E+01          0.24733691E+01
170          0.42713568E+01          0.24845212E+01
171          0.42964824E+01          0.24957738E+01
172          0.43216080E+01          0.25071280E+01
173          0.43467337E+01          0.25185853E+01
174          0.43718593E+01          0.25301467E+01
175          0.43969849E+01          0.25418137E+01
176          0.44221106E+01          0.25535874E+01
177          0.44472362E+01          0.25654691E+01
178          0.44723618E+01          0.25774601E+01
179          0.44974874E+01          0.25895617E+01
180          0.45226131E+01          0.26017750E+01
181          0.45477387E+01          0.26141014E+01
182          0.45728643E+01          0.26265421E+01
183          0.45979899E+01          0.26390984E+01
184          0.46231156E+01          0.26517715E+01
185          0.46482412E+01          0.26645627E+01
186          0.46733668E+01          0.26774732E+01
187          0.46984925E+01          0.26905044E+01
188          0.47236181E+01          0.27036574E+01
189          0.47487437E+01          0.27169336E+01
190          0.47738693E+01          0.27303342E+01
191          0.47989950E+01          0.27438604E+01
192          0.48241206E+01          0.27575135E+01
193          0.48492462E+01          0.27712949E+01
194          0.48743719E+01          0.27852056E+01
195          0.48994975E+01          0.27992470E+01
196          0.49246231E+01          0.28134204E+01
197          0.49497487E+01          0.28277270E+01
198          0.49748744E+01          0.28421681E+01
199          0.50000000E+01          0.28567449E+01
