 #         t          y_h            y_exact      E(ABS)
  0.000000000E+00  0.100000000E+01  0.102789914E+01  0.278991417E-01
  0.100000000E+00  0.934230749E+00  0.954192860E+00  0.199621115E-01
  0.200000000E+00  0.921346430E+00  0.925743844E+00  0.439741437E-02
  0.300000000E+00  0.927277548E+00  0.914428019E+00  0.128495298E-01
  0.400000000E+00  0.914478220E+00  0.889287461E+00  0.251907590E-01
  0.500000000E+00  0.855914326E+00  0.828002181E+00  0.279121452E-01
  0.600000000E+00  0.745070131E+00  0.725096101E+00  0.199740297E-01
  0.700000000E+00  0.598147980E+00  0.593739643E+00  0.440833604E-02
  0.800000000E+00  0.447617974E+00  0.460457497E+00  0.128395229E-01
  0.900000000E+00  0.329578807E+00  0.354760399E+00  0.251815917E-01
  0.100000000E+01  0.269755124E+00  0.297658873E+00  0.279037483E-01
