 #         t          y_h            y_exact      E(ABS)
  0.000000000E+00  0.100000000E+01  0.100000000E+01  0.000000000E+00
  0.500000000E-02  0.995090882E+00  0.995090882E+00  0.861977156E-12
  0.100000000E-01  0.990362845E+00  0.990362845E+00  0.167466041E-11
  0.150000000E-01  0.985814755E+00  0.985814755E+00  0.243727261E-11
  0.200000000E-01  0.981445328E+00  0.981445328E+00  0.314959170E-11
  0.250000000E-01  0.977253133E+00  0.977253133E+00  0.381139564E-11
  0.300000000E-01  0.973236592E+00  0.973236592E+00  0.442168524E-11
  0.350000000E-01  0.969393982E+00  0.969393982E+00  0.498046049E-11
  0.400000000E-01  0.965723439E+00  0.965723439E+00  0.548716628E-11
  0.450000000E-01  0.962222954E+00  0.962222954E+00  0.594158056E-11
  0.500000000E-01  0.958890381E+00  0.958890381E+00  0.634337027E-11
  0.550000000E-01  0.955723436E+00  0.955723436E+00  0.669231337E-11
  0.600000000E-01  0.952719697E+00  0.952719697E+00  0.698852087E-11
  0.650000000E-01  0.949876611E+00  0.949876611E+00  0.723177074E-11
  0.700000000E-01  0.947191493E+00  0.947191493E+00  0.742206296E-11
  0.750000000E-01  0.944661530E+00  0.944661530E+00  0.755917551E-11
  0.800000000E-01  0.942283782E+00  0.942283782E+00  0.764344144E-11
  0.850000000E-01  0.940055188E+00  0.940055188E+00  0.767474972E-11
  0.900000000E-01  0.937972564E+00  0.937972564E+00  0.765365549E-11
  0.950000000E-01  0.936032611E+00  0.936032611E+00  0.757993668E-11
  0.100000000E+00  0.934231915E+00  0.934231915E+00  0.745403739E-11
  0.105000000E+00  0.932566951E+00  0.932566951E+00  0.727640170E-11
  0.110000000E+00  0.931034088E+00  0.931034088E+00  0.704702963E-11
  0.115000000E+00  0.929629588E+00  0.929629588E+00  0.676692036E-11
  0.120000000E+00  0.928349615E+00  0.928349615E+00  0.643596287E-11
  0.125000000E+00  0.927190236E+00  0.927190236E+00  0.605537842E-11
  0.130000000E+00  0.926147423E+00  0.926147423E+00  0.562472291E-11
  0.135000000E+00  0.925217062E+00  0.925217062E+00  0.514555065E-11
  0.140000000E+00  0.924394949E+00  0.924394949E+00  0.461797267E-11
  0.145000000E+00  0.923676804E+00  0.923676804E+00  0.404298817E-11
  0.150000000E+00  0.923058266E+00  0.923058266E+00  0.342115225E-11
  0.155000000E+00  0.922534902E+00  0.922534902E+00  0.275324208E-11
  0.160000000E+00  0.922102211E+00  0.922102211E+00  0.204036787E-11
  0.165000000E+00  0.921755627E+00  0.921755627E+00  0.128330679E-11
  0.170000000E+00  0.921490523E+00  0.921490523E+00  0.482835993E-12
  0.175000000E+00  0.921302219E+00  0.921302219E+00  0.359934305E-12
  0.180000000E+00  0.921185981E+00  0.921185981E+00  0.124400490E-11
