 #         t          y_h            y_exact      E(ABS)
  0.000000000E+00  0.100000000E+01  0.100000000E+01  0.000000000E+00
  0.500000000E-02  0.995091037E+00  0.995090882E+00  0.154766744E-06
  0.100000000E-01  0.990363160E+00  0.990362845E+00  0.314365211E-06
  0.150000000E-01  0.985815234E+00  0.985814755E+00  0.478637239E-06
  0.200000000E-01  0.981445976E+00  0.981445328E+00  0.647419934E-06
  0.250000000E-01  0.977253953E+00  0.977253133E+00  0.820545836E-06
  0.300000000E-01  0.973237589E+00  0.973236592E+00  0.997843083E-06
  0.350000000E-01  0.969395161E+00  0.969393982E+00  0.117913558E-05
  0.400000000E-01  0.965724803E+00  0.965723439E+00  0.136424319E-05
  0.450000000E-01  0.962224507E+00  0.962222954E+00  0.155298187E-05
  0.500000000E-01  0.958892126E+00  0.958890381E+00  0.174516392E-05
  0.550000000E-01  0.955725376E+00  0.955723436E+00  0.194059811E-05
  0.600000000E-01  0.952721836E+00  0.952719697E+00  0.213908989E-05
  0.650000000E-01  0.949878951E+00  0.949876611E+00  0.234044159E-05
  0.700000000E-01  0.947194038E+00  0.947191493E+00  0.254445262E-05
  0.750000000E-01  0.944664281E+00  0.944661530E+00  0.275091966E-05
  0.800000000E-01  0.942286742E+00  0.942283782E+00  0.295963685E-05
  0.850000000E-01  0.940058358E+00  0.940055188E+00  0.317039601E-05
  0.900000000E-01  0.937975947E+00  0.937972564E+00  0.338298685E-05
  0.950000000E-01  0.936036208E+00  0.936032611E+00  0.359719718E-05
  0.100000000E+00  0.934235728E+00  0.934231915E+00  0.381281308E-05
  0.105000000E+00  0.932570981E+00  0.932566951E+00  0.402961918E-05
  0.110000000E+00  0.931038335E+00  0.931034088E+00  0.424739883E-05
  0.115000000E+00  0.929634054E+00  0.929629588E+00  0.446593429E-05
  0.120000000E+00  0.928354300E+00  0.928349615E+00  0.468500704E-05
  0.125000000E+00  0.927195140E+00  0.927190236E+00  0.490439787E-05
  0.130000000E+00  0.926152547E+00  0.926147423E+00  0.512388721E-05
  0.135000000E+00  0.925222405E+00  0.925217062E+00  0.534325528E-05
  0.140000000E+00  0.924400512E+00  0.924394949E+00  0.556228233E-05
  0.145000000E+00  0.923682585E+00  0.923676804E+00  0.578074887E-05
  0.150000000E+00  0.923064264E+00  0.923058266E+00  0.599843585E-05
  0.155000000E+00  0.922541117E+00  0.922534902E+00  0.621512492E-05
  0.160000000E+00  0.922108641E+00  0.922102211E+00  0.643059862E-05
  0.165000000E+00  0.921762271E+00  0.921755627E+00  0.664464060E-05
  0.170000000E+00  0.921497380E+00  0.921490523E+00  0.685703584E-05
  0.175000000E+00  0.921309286E+00  0.921302219E+00  0.706757088E-05
  0.180000000E+00  0.921193257E+00  0.921185981E+00  0.727603398E-05
  0.185000000E+00  0.921144511E+00  0.921137029E+00  0.748221537E-05
  0.190000000E+00  0.921158229E+00  0.921150543E+00  0.768590747E-05
  0.195000000E+00  0.921229550E+00  0.921221663E+00  0.788690506E-05
  0.200000000E+00  0.921353583E+00  0.921345498E+00  0.808500550E-05
  0.205000000E+00  0.921525409E+00  0.921517129E+00  0.828000894E-05
  0.210000000E+00  0.921740085E+00  0.921731613E+00  0.847171848E-05
  0.215000000E+00  0.921992648E+00  0.921983988E+00  0.865994043E-05
  0.220000000E+00  0.922278125E+00  0.922269281E+00  0.884448445E-05
  0.225000000E+00  0.922591531E+00  0.922582506E+00  0.902516374E-05
  0.230000000E+00  0.922927878E+00  0.922918676E+00  0.920179527E-05
  0.235000000E+00  0.923282179E+00  0.923272804E+00  0.937419990E-05
  0.240000000E+00  0.923649451E+00  0.923639909E+00  0.954220261E-05
  0.245000000E+00  0.924024723E+00  0.924015018E+00  0.970563264E-05
  0.250000000E+00  0.924403039E+00  0.924393175E+00  0.986432368E-05
  0.255000000E+00  0.924779462E+00  0.924769444E+00  0.100181140E-04
  0.260000000E+00  0.925149080E+00  0.925138913E+00  0.101668467E-04
  0.265000000E+00  0.925507011E+00  0.925496700E+00  0.103103698E-04
  0.270000000E+00  0.925848405E+00  0.925837956E+00  0.104485362E-04
  0.275000000E+00  0.926168452E+00  0.926157871E+00  0.105812043E-04
  0.280000000E+00  0.926462388E+00  0.926451680E+00  0.107082378E-04
  0.285000000E+00  0.926725492E+00  0.926714663E+00  0.108295056E-04
  0.290000000E+00  0.926953099E+00  0.926942155E+00  0.109448827E-04
  0.295000000E+00  0.927140601E+00  0.927129546E+00  0.110542494E-04
  0.300000000E+00  0.927283448E+00  0.927272291E+00  0.111574923E-04
  0.305000000E+00  0.927377161E+00  0.927365906E+00  0.112545035E-04
  0.310000000E+00  0.927417326E+00  0.927405981E+00  0.113451816E-04
  0.315000000E+00  0.927399608E+00  0.927388178E+00  0.114294312E-04
  0.320000000E+00  0.927319747E+00  0.927308240E+00  0.115071633E-04
  0.325000000E+00  0.927173567E+00  0.927161989E+00  0.115782950E-04
  0.330000000E+00  0.926956979E+00  0.926945337E+00  0.116427502E-04
  0.335000000E+00  0.926665985E+00  0.926654285E+00  0.117004590E-04
  0.340000000E+00  0.926296680E+00  0.926284929E+00  0.117513585E-04
  0.345000000E+00  0.925845258E+00  0.925833463E+00  0.117953922E-04
  0.350000000E+00  0.925308015E+00  0.925296183E+00  0.118325102E-04
  0.355000000E+00  0.924681352E+00  0.924669489E+00  0.118626696E-04
  0.360000000E+00  0.923961779E+00  0.923949893E+00  0.118858343E-04
  0.365000000E+00  0.923145918E+00  0.923134016E+00  0.119019750E-04
  0.370000000E+00  0.922230507E+00  0.922218596E+00  0.119110691E-04
  0.375000000E+00  0.921212401E+00  0.921200488E+00  0.119131013E-04
  0.380000000E+00  0.920088580E+00  0.920076672E+00  0.119080629E-04
  0.385000000E+00  0.918856144E+00  0.918844248E+00  0.118959522E-04
  0.390000000E+00  0.917512322E+00  0.917500446E+00  0.118767744E-04
  0.395000000E+00  0.916054475E+00  0.916042625E+00  0.118505417E-04
  0.400000000E+00  0.914480093E+00  0.914468276E+00  0.118172732E-04
  0.405000000E+00  0.912786803E+00  0.912775026E+00  0.117769950E-04
  0.410000000E+00  0.910972367E+00  0.910960637E+00  0.117297397E-04
  0.415000000E+00  0.909034687E+00  0.909023011E+00  0.116755472E-04
  0.420000000E+00  0.906971807E+00  0.906960192E+00  0.116144639E-04
  0.425000000E+00  0.904781912E+00  0.904770365E+00  0.115465430E-04
  0.430000000E+00  0.902463333E+00  0.902451861E+00  0.114718446E-04
  0.435000000E+00  0.900014547E+00  0.900003156E+00  0.113904351E-04
  0.440000000E+00  0.897434177E+00  0.897422875E+00  0.113023878E-04
  0.445000000E+00  0.894720997E+00  0.894709789E+00  0.112077823E-04
  0.450000000E+00  0.891873929E+00  0.891862822E+00  0.111067048E-04
  0.455000000E+00  0.888892046E+00  0.888881047E+00  0.109992477E-04
  0.460000000E+00  0.885774575E+00  0.885763690E+00  0.108855096E-04
  0.465000000E+00  0.882520893E+00  0.882510127E+00  0.107655956E-04
  0.470000000E+00  0.879130529E+00  0.879119890E+00  0.106396164E-04
  0.475000000E+00  0.875603169E+00  0.875592661E+00  0.105076889E-04
  0.480000000E+00  0.871938649E+00  0.871928279E+00  0.103699360E-04
  0.485000000E+00  0.868136960E+00  0.868126733E+00  0.102264858E-04
  0.490000000E+00  0.864198246E+00  0.864188169E+00  0.100774725E-04
  0.495000000E+00  0.860122805E+00  0.860112882E+00  0.992303552E-05
  0.500000000E+00  0.855911086E+00  0.855901323E+00  0.976331957E-05
  0.505000000E+00  0.851563693E+00  0.851554094E+00  0.959847460E-05
  0.510000000E+00  0.847081379E+00  0.847071951E+00  0.942865557E-05
  0.515000000E+00  0.842465050E+00  0.842455796E+00  0.925402231E-05
  0.520000000E+00  0.837715761E+00  0.837706686E+00  0.907473938E-05
  0.525000000E+00  0.832834714E+00  0.832825823E+00  0.889097589E-05
  0.530000000E+00  0.827823261E+00  0.827814558E+00  0.870290531E-05
  0.535000000E+00  0.822682898E+00  0.822674387E+00  0.851070537E-05
  0.540000000E+00  0.817415267E+00  0.817406952E+00  0.831455782E-05
  0.545000000E+00  0.812022152E+00  0.812014037E+00  0.811464828E-05
  0.550000000E+00  0.806505477E+00  0.806497566E+00  0.791116604E-05
  0.555000000E+00  0.800867307E+00  0.800859602E+00  0.770430389E-05
  0.560000000E+00  0.795109841E+00  0.795102347E+00  0.749425795E-05
  0.565000000E+00  0.789235415E+00  0.789228134E+00  0.728122741E-05
  0.570000000E+00  0.783246496E+00  0.783239430E+00  0.706541441E-05
  0.575000000E+00  0.777145680E+00  0.777138833E+00  0.684702378E-05
  0.580000000E+00  0.770935692E+00  0.770929066E+00  0.662626290E-05
  0.585000000E+00  0.764619379E+00  0.764612976E+00  0.640334143E-05
  0.590000000E+00  0.758199710E+00  0.758193531E+00  0.617847114E-05
  0.595000000E+00  0.751679773E+00  0.751673821E+00  0.595186571E-05
  0.600000000E+00  0.745062770E+00  0.745057046E+00  0.572374050E-05
  0.605000000E+00  0.738352015E+00  0.738346521E+00  0.549431234E-05
  0.610000000E+00  0.731550933E+00  0.731545669E+00  0.526379931E-05
  0.615000000E+00  0.724663050E+00  0.724658017E+00  0.503242057E-05
  0.620000000E+00  0.717691997E+00  0.717687196E+00  0.480039607E-05
  0.625000000E+00  0.710641501E+00  0.710636933E+00  0.456794640E-05
  0.630000000E+00  0.703515384E+00  0.703511048E+00  0.433529253E-05
