 #         t          y_h            y_exact      E(ABS)
  0.000000000E+00  0.100000000E+01  0.102789914E+01  0.278991417E-01
  0.100000000E-01  0.990362845E+00  0.101792813E+01  0.275652812E-01
  0.200000000E-01  0.981445328E+00  0.100856796E+01  0.271226332E-01
  0.300000000E-01  0.973236591E+00  0.999809536E+00  0.265729445E-01
  0.400000000E-01  0.965723438E+00  0.991641823E+00  0.259183846E-01
  0.500000000E-01  0.958890381E+00  0.984051918E+00  0.251615366E-01
  0.600000000E-01  0.952719697E+00  0.977025084E+00  0.243053876E-01
  0.700000000E-01  0.947191493E+00  0.970544809E+00  0.233533163E-01
  0.800000000E-01  0.942283782E+00  0.964592862E+00  0.223090801E-01
  0.900000000E-01  0.937972564E+00  0.959149364E+00  0.211768001E-01
  0.100000000E+00  0.934231915E+00  0.954192860E+00  0.199609450E-01
  0.110000000E+00  0.931034088E+00  0.949700401E+00  0.186663132E-01
  0.120000000E+00  0.928349615E+00  0.945647629E+00  0.172980140E-01
  0.130000000E+00  0.926147423E+00  0.942008871E+00  0.158614474E-01
  0.140000000E+00  0.924394949E+00  0.938757232E+00  0.143622829E-01
  0.150000000E+00  0.923058266E+00  0.935864703E+00  0.128064370E-01
  0.160000000E+00  0.922102211E+00  0.933302261E+00  0.112000500E-01
  0.170000000E+00  0.921490523E+00  0.931039985E+00  0.954946146E-02
  0.180000000E+00  0.921185981E+00  0.929047166E+00  0.786118558E-02
  0.190000000E+00  0.921150543E+00  0.927292428E+00  0.614188520E-02
  0.200000000E+00  0.921345499E+00  0.925743844E+00  0.439834560E-02
  0.210000000E+00  0.921731613E+00  0.924369061E+00  0.263744773E-02
  0.220000000E+00  0.922269281E+00  0.923135422E+00  0.866141059E-03
  0.230000000E+00  0.922918676E+00  0.922010093E+00  0.908583876E-03
  0.240000000E+00  0.923639909E+00  0.920960186E+00  0.267972305E-02
  0.250000000E+00  0.924393175E+00  0.919952889E+00  0.444028658E-02
  0.260000000E+00  0.925138914E+00  0.918955587E+00  0.618332633E-02
  0.270000000E+00  0.925837956E+00  0.917935993E+00  0.790196332E-02
  0.280000000E+00  0.926451680E+00  0.916862265E+00  0.958941488E-02
  0.290000000E+00  0.926942155E+00  0.915703134E+00  0.112390214E-01
  0.300000000E+00  0.927272291E+00  0.914428019E+00  0.128442726E-01
  0.310000000E+00  0.927405982E+00  0.913007148E+00  0.143988334E-01
  0.320000000E+00  0.927308240E+00  0.911411672E+00  0.158965685E-01
  0.330000000E+00  0.926945337E+00  0.909613770E+00  0.173315672E-01
  0.340000000E+00  0.926284929E+00  0.907586763E+00  0.186981661E-01
  0.350000000E+00  0.925296183E+00  0.905305211E+00  0.199909718E-01
  0.360000000E+00  0.923949894E+00  0.902745011E+00  0.212048824E-01
  0.370000000E+00  0.922218596E+00  0.899883489E+00  0.223351069E-01
  0.380000000E+00  0.920076672E+00  0.896699487E+00  0.233771850E-01
  0.390000000E+00  0.917500447E+00  0.893173442E+00  0.243270040E-01
  0.400000000E+00  0.914468277E+00  0.889287461E+00  0.251808155E-01
  0.410000000E+00  0.910960638E+00  0.885025388E+00  0.259352498E-01
  0.420000000E+00  0.906960193E+00  0.880372864E+00  0.265873295E-01
  0.430000000E+00  0.902451862E+00  0.875317381E+00  0.271344812E-01
  0.440000000E+00  0.897422876E+00  0.869848330E+00  0.275745454E-01
  0.450000000E+00  0.891862823E+00  0.863957038E+00  0.279057856E-01
  0.460000000E+00  0.885763691E+00  0.857636797E+00  0.281268943E-01
  0.470000000E+00  0.879119891E+00  0.850882892E+00  0.282369991E-01
  0.480000000E+00  0.871928280E+00  0.843692615E+00  0.282356653E-01
  0.490000000E+00  0.864188170E+00  0.836065272E+00  0.281228982E-01
  0.500000000E+00  0.855901324E+00  0.828002181E+00  0.278991429E-01
  0.510000000E+00  0.847071952E+00  0.819506670E+00  0.275652825E-01
  0.520000000E+00  0.837706687E+00  0.810584053E+00  0.271226345E-01
  0.530000000E+00  0.827814559E+00  0.801241613E+00  0.265729458E-01
  0.540000000E+00  0.817406954E+00  0.791488568E+00  0.259183858E-01
  0.550000000E+00  0.806497567E+00  0.781336029E+00  0.251615379E-01
  0.560000000E+00  0.795102348E+00  0.770796959E+00  0.243053888E-01
  0.570000000E+00  0.783239432E+00  0.759886114E+00  0.233533175E-01
  0.580000000E+00  0.770929067E+00  0.748619986E+00  0.223090813E-01
  0.590000000E+00  0.758193533E+00  0.737016731E+00  0.211768013E-01
  0.600000000E+00  0.745057047E+00  0.725096101E+00  0.199609462E-01
  0.610000000E+00  0.731545670E+00  0.712879356E+00  0.186663144E-01
  0.620000000E+00  0.717687198E+00  0.700389182E+00  0.172980151E-01
  0.630000000E+00  0.703511050E+00  0.687649601E+00  0.158614485E-01
  0.640000000E+00  0.689048151E+00  0.674685867E+00  0.143622840E-01
  0.650000000E+00  0.674330807E+00  0.661524369E+00  0.128064381E-01
  0.660000000E+00  0.659392575E+00  0.648192524E+00  0.112000511E-01
  0.670000000E+00  0.644268127E+00  0.634718664E+00  0.954946255E-02
  0.680000000E+00  0.628993111E+00  0.621131924E+00  0.786118667E-02
  0.690000000E+00  0.613604009E+00  0.607462122E+00  0.614188627E-02
  0.700000000E+00  0.598137990E+00  0.593739643E+00  0.439834666E-02
  0.710000000E+00  0.582632762E+00  0.579995313E+00  0.263744879E-02
  0.720000000E+00  0.567126419E+00  0.566260277E+00  0.866142107E-03
  0.730000000E+00  0.551657289E+00  0.552565871E+00  0.908582837E-03
  0.740000000E+00  0.536263780E+00  0.538943502E+00  0.267972202E-02
  0.750000000E+00  0.520984229E+00  0.525424515E+00  0.444028556E-02
  0.760000000E+00  0.505856745E+00  0.512040071E+00  0.618332532E-02
  0.770000000E+00  0.490919058E+00  0.498821020E+00  0.790196232E-02
  0.780000000E+00  0.476208366E+00  0.485797780E+00  0.958941388E-02
  0.790000000E+00  0.461761191E+00  0.473000211E+00  0.112390204E-01
  0.800000000E+00  0.447613225E+00  0.460457497E+00  0.128442717E-01
  0.810000000E+00  0.433799196E+00  0.448198028E+00  0.143988324E-01
  0.820000000E+00  0.420352719E+00  0.436249287E+00  0.158965676E-01
  0.830000000E+00  0.407306171E+00  0.424637738E+00  0.173315662E-01
  0.840000000E+00  0.394690555E+00  0.413388720E+00  0.186981651E-01
  0.850000000E+00  0.382535376E+00  0.402526346E+00  0.199909709E-01
  0.860000000E+00  0.370868524E+00  0.392073405E+00  0.212048815E-01
  0.870000000E+00  0.359716162E+00  0.382051268E+00  0.223351060E-01
  0.880000000E+00  0.349102622E+00  0.372479807E+00  0.233771841E-01
  0.890000000E+00  0.339050303E+00  0.363377306E+00  0.243270031E-01
  0.900000000E+00  0.329579584E+00  0.354760399E+00  0.251808146E-01
  0.910000000E+00  0.320708740E+00  0.346643989E+00  0.259352489E-01
  0.920000000E+00  0.312453870E+00  0.339041198E+00  0.265873286E-01
  0.930000000E+00  0.304828828E+00  0.331963308E+00  0.271344803E-01
  0.940000000E+00  0.297845171E+00  0.325419715E+00  0.275745446E-01
  0.950000000E+00  0.291512108E+00  0.319417892E+00  0.279057847E-01
  0.960000000E+00  0.285836463E+00  0.313963356E+00  0.281268935E-01
  0.970000000E+00  0.280822646E+00  0.309059644E+00  0.282369982E-01
  0.980000000E+00  0.276472636E+00  0.304708300E+00  0.282356644E-01
  0.990000000E+00  0.272785966E+00  0.300908864E+00  0.281228974E-01
  0.100000000E+01  0.269759730E+00  0.297658873E+00  0.278991421E-01
