 #         t          y_h            y_exact      E(ABS)
  0.000000000E+00  0.100000000E+01  0.100000000E+01  0.000000000E+00
  0.500000000E-02  0.995000000E+00  0.995090882E+00  0.908818198E-04
  0.100000000E-01  0.990182054E+00  0.990362845E+00  0.180791500E-03
  0.150000000E-01  0.985545096E+00  0.985814755E+00  0.269659238E-03
  0.200000000E-01  0.981087912E+00  0.981445328E+00  0.357416091E-03
  0.250000000E-01  0.976809139E+00  0.977253133E+00  0.443994049E-03
  0.300000000E-01  0.972707265E+00  0.973236592E+00  0.529326098E-03
  0.350000000E-01  0.968780636E+00  0.969393982E+00  0.613346293E-03
  0.400000000E-01  0.965027449E+00  0.965723439E+00  0.695989820E-03
  0.450000000E-01  0.961445761E+00  0.962222954E+00  0.777193061E-03
  0.500000000E-01  0.958033488E+00  0.958890381E+00  0.856893663E-03
  0.550000000E-01  0.954788405E+00  0.955723436E+00  0.935030592E-03
  0.600000000E-01  0.951708153E+00  0.952719697E+00  0.101154421E-02
  0.650000000E-01  0.948790235E+00  0.949876611E+00  0.108637630E-02
  0.700000000E-01  0.946032023E+00  0.947191493E+00  0.115947019E-02
  0.750000000E-01  0.943430759E+00  0.944661530E+00  0.123077072E-02
  0.800000000E-01  0.940983558E+00  0.942283782E+00  0.130022439E-02
  0.850000000E-01  0.938687409E+00  0.940055188E+00  0.136777935E-02
  0.900000000E-01  0.936539179E+00  0.937972564E+00  0.143338546E-02
  0.950000000E-01  0.934535617E+00  0.936032611E+00  0.149699439E-02
  0.100000000E+00  0.932673356E+00  0.934231915E+00  0.155855960E-02
  0.105000000E+00  0.930948915E+00  0.932566951E+00  0.161803643E-02
  0.110000000E+00  0.929358706E+00  0.931034088E+00  0.167538213E-02
  0.115000000E+00  0.927899032E+00  0.929629588E+00  0.173055592E-02
  0.120000000E+00  0.926566096E+00  0.928349615E+00  0.178351900E-02
  0.125000000E+00  0.925356001E+00  0.927190236E+00  0.183423464E-02
  0.130000000E+00  0.924264755E+00  0.926147423E+00  0.188266814E-02
  0.135000000E+00  0.923288275E+00  0.925217062E+00  0.192878695E-02
  0.140000000E+00  0.922422389E+00  0.924394949E+00  0.197256064E-02
  0.145000000E+00  0.921662843E+00  0.923676804E+00  0.201396097E-02
  0.150000000E+00  0.921005304E+00  0.923058266E+00  0.205296190E-02
  0.155000000E+00  0.920445362E+00  0.922534902E+00  0.208953962E-02
  0.160000000E+00  0.919978538E+00  0.922102211E+00  0.212367256E-02
