 #         t          y_h            y_exact      E(ABS)
  0.850000000E+00  0.384454232E+00  0.402526346E+00  0.180721148E-01
  0.860000000E+00  0.372673503E+00  0.392073405E+00  0.193999022E-01
  0.870000000E+00  0.361400806E+00  0.382051268E+00  0.206504628E-01
  0.880000000E+00  0.350660939E+00  0.372479807E+00  0.218188675E-01
  0.890000000E+00  0.340476795E+00  0.363377306E+00  0.229005113E-01
  0.900000000E+00  0.330869267E+00  0.354760399E+00  0.238911316E-01
  0.910000000E+00  0.321857164E+00  0.346643989E+00  0.247868251E-01
  0.920000000E+00  0.313457135E+00  0.339041198E+00  0.255840627E-01
  0.930000000E+00  0.305683604E+00  0.331963308E+00  0.262797043E-01
  0.940000000E+00  0.298548705E+00  0.325419715E+00  0.268710104E-01
  0.950000000E+00  0.292062239E+00  0.319417892E+00  0.273556532E-01
  0.960000000E+00  0.286231630E+00  0.313963356E+00  0.277317259E-01
  0.970000000E+00  0.281061894E+00  0.309059644E+00  0.279977501E-01
  0.980000000E+00  0.276555619E+00  0.304708300E+00  0.281526815E-01
  0.990000000E+00  0.272712949E+00  0.300908864E+00  0.281959145E-01
  0.100000000E+01  0.269531589E+00  0.297658873E+00  0.281272840E-01
